merge_action,risk_level,merge_reason,target_tables,asset_id,current_asset_name,db_asset_master_name,accepted_asset_name,asset_name_action,asset_semantics_hint,asset_name_decision_status,adoption_source,recommended_db_action,safe_to_update_existing_asset_master,linked_fund_ids,source_fund_code,source_fund_name,source_seq,source_asset_category,source_investment_asset_type,proposed_address,db_address_text,address_compare,proposed_pnu,db_pnu,pnu_compare,proposed_longitude,db_longitude,longitude_compare,proposed_latitude,db_latitude,latitude_compare,has_proposed_location,has_current_asset_master_location,has_current_ledger_for_asset,has_current_ledger_for_proposed_pnu,has_any_ledger_for_proposed_pnu,needs_asset_master_location_update,needs_building_ledger_fetch_by_pnu,fund_assets_id,fund_assets_pnu,fund_assets_address,fund_assets_longitude,fund_assets_latitude,fund_assets_has_building_ledger_metadata,db_fetch_status,current_canonical_name,current_address_text,current_pnu,current_latitude,current_longitude,update_payload_json
update_asset_name_only,low,safe existing asset name update but no address/pnu/xy candidate,asset_master,ast_808ae65372f4,오시리아타워레지던스,오시리아타워레지던스,오시리아타워레지던스,update_asset_name,underlying_asset,user_confirmed,worklist_proposed_name_unmatched,update_name_only_pending_location,True,P00003,,,,,,,,no_proposed_value,,,no_proposed_value,,129.215212006,no_proposed_value,,35.188692083,no_proposed_value,False,False,False,False,False,False,False,,,,,,False,found,오시리아타워레지던스,,,35.188692083,129.215212006,"{""canonical_name"": ""오시리아타워레지던스""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_835e9f381ae3,이지스아레나스전문투자형사모부동산투자신탁4호,이지스아레나스전문투자형사모부동산투자신탁4호,"스카이박스1, 스카이박스2",update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,112299,112299,이지스아레나스전문투자형사모부동산투자신탁4호,1,물류,물류,인천광역시 서구 오류동 1549-4,인천광역시 서구 오류동 1549-4,same,2826011900115490004,2826011900115490004,same,126.60312264664,126.603122745631,same,37.5636465767383,37.5636469634101,same,True,True,True,True,True,False,False,58143,2826011900115490004,인천광역시 서구 오류동 1549-4,126.603122745631,37.5636469634101,True,found,이지스아레나스전문투자형사모부동산투자신탁4호,인천광역시 서구 오류동 1549-4,2826011900115490004,37.5636469634101,126.603122745631,"{""address_text"": ""인천광역시 서구 오류동 1549-4"", ""canonical_name"": ""스카이박스1, 스카이박스2"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 37.5636465767383, ""longitude"": 126.60312264664, ""pnu"": ""2826011900115490004""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_8a93d35b0890,디오션259피에프브이 주식회사,디오션259피에프브이 주식회사,강릉 생활형숙박시설,update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,P00011,P00011,디오션259피에프브이 주식회사,1,호텔,복합(호텔),강원특별자치도 강릉시 송정동 259,강원특별자치도 강릉시 송정동 259,same,5115011400102590000,5115011400102590000,same,128.928272160032,128.928248082138,different,37.7855714671182,37.7854795011601,different,True,True,True,True,True,True,False,,,,,,False,found,디오션259피에프브이 주식회사,강원특별자치도 강릉시 송정동 259,5115011400102590000,37.7854795011601,128.928248082138,"{""address_text"": ""강원특별자치도 강릉시 송정동 259"", ""canonical_name"": ""강릉 생활형숙박시설"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 37.7855714671182, ""longitude"": 128.928272160032, ""pnu"": ""5115011400102590000""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_8a93d35b0890,디오션259피에프브이 주식회사,디오션259피에프브이 주식회사,생활형 숙박시설,update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,P00011,P00011,디오션259피에프브이 주식회사,2,기타,복합(호텔),강원특별자치도 강릉시 송정동 259,강원특별자치도 강릉시 송정동 259,same,5115011400102590000,5115011400102590000,same,128.928272160032,128.928248082138,different,37.7855714671182,37.7854795011601,different,True,True,True,True,True,True,False,,,,,,False,found,디오션259피에프브이 주식회사,강원특별자치도 강릉시 송정동 259,5115011400102590000,37.7854795011601,128.928248082138,"{""address_text"": ""강원특별자치도 강릉시 송정동 259"", ""canonical_name"": ""생활형 숙박시설"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 37.7855714671182, ""longitude"": 128.928272160032, ""pnu"": ""5115011400102590000""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_8bd8d91c9bb8,천안성성동피에프브이주식회사,천안성성동피에프브이주식회사,천안성성7지구공동주택,update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,P00017,P00017,천안성성동피에프브이주식회사,1,주거,주거,충청남도 천안시 서북구 성성동 366-3,충청남도 천안시 서북구 성성동 366-3,same,4413310500103660003,4413310500103660003,same,127.124036411942,127.124036181881,same,36.8447388115237,36.8447392271306,same,True,True,True,True,True,False,False,58729,4413310500103660003,충청남도 천안시 서북구 성성동 366-3,127.124036181881,36.8447392271306,True,found,천안성성동피에프브이주식회사,충청남도 천안시 서북구 성성동 366-3,4413310500103660003,36.8447392271306,127.124036181881,"{""address_text"": ""충청남도 천안시 서북구 성성동 366-3"", ""canonical_name"": ""천안성성7지구공동주택"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 36.8447388115237, ""longitude"": 127.124036411942, ""pnu"": ""4413310500103660003""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_8d2911b657d8,이지스전문투자형사모부동산투자신탁259호,이지스전문투자형사모부동산투자신탁259호,파주 운정지구 오피스 개발사업,update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,112277,112277,이지스전문투자형사모부동산투자신탁259호,1,주거,주거,경기도 파주시 와동동 1433,경기도 파주시 와동동 1433,same,4148012200114330000,4148012200114330000,same,126.761311088248,126.76131089591,same,37.7277254475286,37.7277257799842,same,True,True,True,True,True,False,False,58128,4148012200114330000,경기도 파주시 와동동 1433,126.76131089591,37.7277257799842,True,found,이지스전문투자형사모부동산투자신탁259호,경기도 파주시 와동동 1433,4148012200114330000,37.7277257799842,126.76131089591,"{""address_text"": ""경기도 파주시 와동동 1433"", ""canonical_name"": ""파주 운정지구 오피스 개발사업"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 37.7277254475286, ""longitude"": 126.761311088248, ""pnu"": ""4148012200114330000""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_8f4a16aa66fa,이지스로지스틱스리츠,이지스로지스틱스리츠,여주쿠팡물류센터,update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,R00007,R00007,이지스로지스틱스리츠,1,물류,물류,경기도 여주시 점봉동 204-3,경기도 여주시 점봉동 204-3,same,4167011500102040003,4167011500102040003,same,127.640067408447,127.640067135937,same,37.2493874799395,37.24938785556,same,True,True,True,True,True,False,False,58756,4167011500102040003,경기도 여주시 점봉동 204-3,127.640067135937,37.24938785556,True,found,이지스로지스틱스리츠,경기도 여주시 점봉동 204-3,4167011500102040003,37.24938785556,127.640067135937,"{""address_text"": ""경기도 여주시 점봉동 204-3"", ""canonical_name"": ""여주쿠팡물류센터"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 37.2493874799395, ""longitude"": 127.640067408447, ""pnu"": ""4167011500102040003""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_cf7655c37f5e,이지스일반사모부동산투자신탁제336호,이지스일반사모부동산투자신탁제336호,일산CLC,update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,112414 | 112415 | 112416 | 112417,112414,이지스일반사모부동산투자신탁제336호,1,리테일,리테일,경기도 고양시 일산동구 장항동 889,경기도 고양시 일산동구 장항동 889,same,4128510400108890000,4128510400108890000,same,126.775960673561,126.775960479558,same,37.6542178160599,37.6542181556078,same,True,True,True,True,True,False,False,58232,4128510400108890000,경기도 고양시 일산동구 장항동 889,126.775960479558,37.6542181556078,True,found,이지스일반사모부동산투자신탁제336호,경기도 고양시 일산동구 장항동 889,4128510400108890000,37.6542181556078,126.775960479558,"{""address_text"": ""경기도 고양시 일산동구 장항동 889"", ""canonical_name"": ""일산CLC"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 37.6542178160599, ""longitude"": 126.775960673561, ""pnu"": ""4128510400108890000""}"
update_asset_master_location,low,safe existing asset update; ledger already present for asset+pnu,asset_master,ast_e6eadbaa08bd,이지스일반사모부동산투자신탁232호(운용),이지스일반사모부동산투자신탁232호(운용),클럽디 속리산,update_asset_name,,,domestic_excel_fund_code_match,update_existing_asset_master_location,True,112279 | 112280 | 112281 | 112282,112279,이지스일반사모부동산투자신탁232호(운용),1,특별자산,특별자산,충청북도 보은군 탄부면 상장리 643-3,탄부면 상장리 643-3,different,4372034027106430003,4372034027106430003,same,127.782249596482,127.782121665,different,36.4471156384991,36.447215919,different,True,True,True,True,True,True,False,58130,4372034027106430003,탄부면 상장리 643-3,127.782121665,36.447215919,True,found,이지스일반사모부동산투자신탁232호(운용),탄부면 상장리 643-3,4372034027106430003,36.447215919,127.782121665,"{""address_text"": ""충청북도 보은군 탄부면 상장리 643-3"", ""canonical_name"": ""클럽디 속리산"", ""geocode_source"": ""deal_board_domestic_completed_20240812"", ""latitude"": 36.4471156384991, ""longitude"": 127.782249596482, ""pnu"": ""4372034027106430003""}"
update_asset_name_only,low,safe existing asset name update but no address/pnu/xy candidate,asset_master,ast_f5220c768a13,글로벌 리츠,글로벌 리츠,Global REITs (수협),update_asset_name,security_or_portfolio_asset,user_confirmed,worklist_proposed_name_unmatched,update_name_only_pending_location,True,112564,,,,,,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,,,no_proposed_value,False,False,False,False,False,False,False,,,,,,False,found,글로벌 리츠,,,,,"{""canonical_name"": ""Global REITs (수협)""}"
