query,entity_type,entity_id,display_title,display_subtitle,token_text,token_type,related_asset_id,related_fund_id,related_project_id,relation_type,source_table,rank_weight
1120,fund,112029,[28호] 이지스엔지제28호사모부동산투자유한회사,운용 | 오피스 | 대한민국,[28호] 이지스엔지제28호사모부동산투자유한회사 112029 M&G (APF 1 S.a.r.l) M&G (APF 2 S.a.r.l) OCBC Bank 노스게이트빌딩,canonical_entity,ast_99bb7e6dd0fa,112029,,self,"asset_fund_links, beneficiary_exposures, lender_exposures, v_funds_enriched",100
1120,fund,112030,[20-2호] 이지스해외간접RES사모부동산투자신탁제20-2호,운용 | 복합(오피스) | 글로벌,[20-2호] 이지스해외간접RES사모부동산투자신탁제20-2호 112030 PartnersGroup Real Estate Secondary 2013 군인공제회 전문건설공제조합,canonical_entity,ast_a69271e859b5,112030,,self,"asset_fund_links, asset_project_link_resolution, beneficiary_exposures, v_funds_enriched",100
1120,fund,112031,[31호] 이지스사모부동산투자신탁31호,청산 | 대한민국,[31호] 이지스사모부동산투자신탁31호 112031,canonical_entity,,112031,,self,v_funds_enriched,100
1120,fund,112032,[20-3호] 이지스해외간접RES사모부동산투자신탁제20-3호,운용 | 복합(오피스) | 글로벌,[20-3호] 이지스해외간접RES사모부동산투자신탁제20-3호 112032 PartnersGroup Real Estate Secondary 2013 개인(박상태) 경찰공제회,canonical_entity,ast_a69271e859b5,112032,,self,"asset_fund_links, asset_project_link_resolution, beneficiary_exposures, v_funds_enriched",100
1120,fund,112033,[32호] 이지스티디에이치제32호사모부동산투자유한회사,운용 | 복합(호텔) | 대한민국,[32호] 이지스티디에이치제32호사모부동산투자유한회사 112033 ASSKR1 I.O.IV IOIV TDH2 대구시티센터 (투자) 퍼시픽제33호전문사모부동산투자유한회사,canonical_entity,ast_1c2b0c57e8b7,112033,,self,"asset_fund_links, beneficiary_exposures, lender_exposures, v_funds_enriched",100
1120,fund,112034,[33호] 이지스일반사모부동산투자신탁33호(운용),운용 | 호텔 | 대한민국,[33호] 이지스일반사모부동산투자신탁33호(운용) 112034 신라스테이제주 신한은행 신한캐피탈 아이비케이투자증권 이지스자산운용 제주은행 한국투자증권,canonical_entity,ast_dd6e846e65f4,112034,,self,"asset_fund_links, asset_project_link_resolution, beneficiary_exposures, lender_exposures, v_funds_enriched",100
1120,fund,112035,[37-1호] 이지스글로벌사모부동산투자신탁37-1호,운용 | 오피스 | 글로벌,[37-1호] 이지스글로벌사모부동산투자신탁37-1호 112035 Bell 본사(몬트리올) OJP사옥(워싱턴) Sanofi 본사(파리) 교보생명보험 농협생명보험 롯데손해보험 새마을금고중앙회 신용협동조합중앙회 한화생명보험,canonical_entity,ast_bc4589571b0d,112035,,self,"asset_fund_links, asset_project_link_resolution, beneficiary_exposures, v_funds_enriched",100
1120,fund,112036,[37-2호] 이지스글로벌사모부동산투자신탁37-2호,운용 | 오피스 | 글로벌,[37-2호] 이지스글로벌사모부동산투자신탁37-2호 112036 Bell 본사(몬트리올) 대출 OJP사옥(워싱턴) 대출 Sanofi 본사(파리) 대출 교보생명보험 농협생명보험 롯데손해보험 새마을금고중앙회 신용협동조합중앙회 한화생명보험,canonical_entity,ast_39ccf4397829,112036,,self,"asset_fund_links, asset_project_link_resolution, beneficiary_exposures, v_funds_enriched",100
1120,fund,112037,[30호] 이지스복합쇼핑몰사모부동산투자신탁30호,운용 | 리테일 | 대한민국,[30호] 이지스복합쇼핑몰사모부동산투자신탁30호 112037 DB손해보험 과학기술인공제회 국민연금공단 롯데수원역쇼핑타운토지 이지스자산운용,canonical_entity,ast_e0a9abed71bf,112037,,self,"asset_fund_links, asset_project_link_resolution, beneficiary_exposures, lender_exposures, v_funds_enriched",100
1120,fund,112038,[35호] 이지스사모부동산투자신탁35호,운용 | 오피스 | 대한민국,[35호] 이지스사모부동산투자신탁35호 112038 넥슨코리아 삼성생명 오토웨이타워 한국교직원공제회,canonical_entity,ast_3e4a7ba7841a,112038,,self,"asset_fund_links, beneficiary_exposures, lender_exposures, v_funds_enriched",100
1120,fund,112039,[42호] 이지스일반사모부동산투자신탁42호(운용),운용 | 오피스 | 대한민국,[42호] 이지스일반사모부동산투자신탁42호(운용) 112039 ADCF Megatrends Singapore Pte Ltd Nuveen Group Holdings Limited 우리은행 우리은행(캡스톤대출플랫폼일반사모투자신탁2호의 신탁업자) 정동빌딩,canonical_entity,ast_a60a75cb3e01,112039,,self,"asset_fund_links, beneficiary_exposures, lender_exposures, v_funds_enriched",100
1120,fund,112040,[45호] 이지스KORIF45호,미설정,[45호] 이지스KORIF45호 112040 원주AK,canonical_entity,ast_58e37903d5ef,112040,,self,"asset_fund_links, v_funds_enriched",100
