sgg_code,sgg_name,umd_name,jibun,deal_date,deal_amount_10k_krw,building_type,row_count,sum_building_area_m2,row_areas_m2,floors,uses,document_ids
41150,의정부시,의정부동,3*,2025-01-25,32041,일반,6,4276.74,712.79|712.79|712.79|712.79|712.79|712.79,|||||,제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활|제1종근린생활,1348eb7d8f285cb994acd5e4c8670c52|58bc10a5ebae50969bd8a795d18f9e26|d10259c1746d5f1c9a75a81751065826|09e5a960f7aa50bd91fe3f91d4da95d6|017e39b93eaf5d32b27b608f4c19597b|ef273cb18b49590390a99102c1139a48
11620,관악구,신림동,1**,2025-08-29,500000,일반,4,4259.96,1064.99|1064.99|1064.99|1064.99,|||,제2종근린생활|제2종근린생활|제2종근린생활|제2종근린생활,a1ea63655841507980283003755fb420|748d12e140085304a2b598306e757d27|ca9f9c7284ee55b7b9279c81509e7c22|783f7d03bf0c50c7b3349b0c7752b811
11530,구로구,구로동,4**,2025-06-23,11220,일반,2,4214.76,2107.38|2107.38,|,제1종근린생활|제1종근린생활,bef87ede71825a4b9500fbed32a2adcf|d2292360cef657ba94e478793c16fa96
11440,마포구,상수동,3**,2025-11-06,1210000,일반,2,4182.38,2091.19|2091.19,|,업무|업무,705a013171c852f6abcee80eb4b72f79|2e23666b93e2532899cf70b60ed55c24
11680,강남구,청담동,7*,2025-12-05,2660000,일반,2,4063.8,2031.9|2031.9,|,제2종근린생활|제2종근린생활,db285b150cc8524381314e43562d8232|fdbcf7dd39ff585ebeee6a7ea1577cd5
41465,용인시 수지구,상현동,254-14,2025-12-12,284203,집합,2,3915.68,1957.84|1957.84,|,제1종근린생활|제1종근린생활,329d2f38622e5ccb83f48a213c7bb343|3dd260d140a35f2a8cc534dc91665d74
28275,서해구,심곡동,2**,2025-04-11,410000,일반,2,3870.72,1935.36|1935.36,|,제2종근린생활|제2종근린생활,5ca5d1a2496652b3b529bfb8465664cf|21d523cfd49a5715920623e4c76428fb
28200,남동구,수산동,5**,2025-03-14,508000,일반,2,3834.68,1917.34|1917.34,|,기타|기타,49fbe1d645c352dcab0d32ac813a2454|03ef7ee2bfea555dbebed6c4a8e07038
11710,송파구,문정동,641-3,2025-09-30,1930000,집합,3,3781.44,1260.48|1260.48|1260.48,11|12|13,업무|업무|업무,7601f3e42a1e5ae18859ea26f3bca545|68bf72acd5bb5adb85910477c8667d8f|992cdb658e3d59be9d487fe4e74538ae
11170,용산구,동자동,45,2025-05-16,2292977,집합,3,3735.33,1244.55|1244.99|1245.79,7|8|9,업무|업무|업무,9a313d1f36f2516581e80c01a535b8d8|a498e909c71258158bf63fa98451f1fe|2a74b7cb6e7b561493b17f52f0cb4fa3
11710,송파구,문정동,641-3,2025-09-30,1635000,집합,3,3688.35,1229.45|1229.45|1229.45,6|8|7,업무|업무|업무,da7433fdd156513687bd52eb970f09bd|e0e3ea64d756560ca4f1bd8b2f3c3e44|50277b14bfe752628b83ee3dd6743d52
11440,마포구,합정동,3**,2025-08-26,1630000,일반,2,3451.5,1725.75|1725.75,|,제2종근린생활|제2종근린생활,a96f51d97ecc57d3b0ad66fd0330d670|316f5e6bfd535e41a2ab65ff7e815a56
41650,포천시,소흘읍 이동교리,7**,2025-05-21,303000,일반,2,3403.15,1738.49|1664.66,|,제2종근린생활|제2종근린생활,c249b7d0b10c5359b31835ecc7799edf|3c2925eeafa0595883cb3d5733b1f2af
41465,용인시 수지구,상현동,254-14,2025-12-12,245797,집합,2,3386.54,1693.27|1693.27,|,기타|기타,8ebdc279be1e58e480e3deb431fc2965|b6d2e816a57d52caa2b4fd8f54c0c8ca
41131,성남시 수정구,복정동,6**,2025-04-17,635000,일반,2,3323.5,1661.75|1661.75,|,제1종근린생활|제1종근린생활,1d7fecde961c5c2fa5e20cfcf6dfb10d|eaef58edec0a53068ded27116d0c5707
