sample_no,sample_frame,audit_class,audit_reason,region,sgg_code,sgg_name,umd_name,jibun,deal_date,building_type,building_use,building_area_m2,plottage_area_m2,floor,deal_amount_10k_krw,area_bin,document_id
45,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11500,강서구,마곡동,798-17,2025-04-30,집합,제1종근린생활,38.6,,2,50350,A_0_100,1ac0063dd86c58bc90aa35893ecbb2e7
46,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11290,성북구,안암동5가,147-5,2025-11-24,집합,제2종근린생활,231.44,,3,65000,B_100_500,9d8dba543af55ceb9c268ed0ccc65efc
47,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11215,광진구,구의동,546-4,2025-07-10,집합,판매,13.02,,,350,A_0_100,23e7ba3898bf57f79eeca000a587fb4a
48,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11740,강동구,고덕동,210-1,2025-11-04,집합,제1종근린생활,99.0,,1,120000,A_0_100,71cd7883ddd658d3a735b464d21402d6
49,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,경기,41135,성남시 분당구,서현동,94,2025-06-13,집합,제1종근린생활,90.79,,,35500,A_0_100,bde09862d2ff514e8c16886ce25fe74b
50,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,인천,28177,미추홀구,주안동,939-30,2025-04-17,집합,제1종근린생활,166.56,,3,38680,B_100_500,03c60db3d26e5128abd12b46c03a5e11
51,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11650,서초구,양재동,215,2025-11-28,집합,판매,40.0,,11,27372,A_0_100,1b25d38452ce567fa1982caa98ee115b
52,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11200,성동구,성수동1가,685-696,2025-07-09,집합,판매,59.61,,1,156870,A_0_100,38bcc5243c345cacaeac551eb4561cff
53,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11530,구로구,고척동,75-1,2025-04-15,집합,판매,6.38,,1,1000,A_0_100,e8ae70b030555f3a89df1cf906dd59f6
54,RANDOM_60,REMOVE_REASONABLE,"일반건물이지만 1,000㎡ 이하로 대형 거래 기준에서는 소규모",경기,41192,부천시 원미구,원미동,7*,2025-08-20,일반,제2종근린생활,732.19,557.1,,394900,C_500_1000,1e098c105fc95859aed804ec86e7fe1d
55,RANDOM_60,REMOVE_CLEAR,집합건물·소면적·층 정보로 개별 호실 거래 가능성 높음,서울,11215,광진구,자양동,831-1,2025-09-16,집합,제2종근린생활,87.18,,,55000,A_0_100,45e4b2c784245962a8048ad2976468f4
