theme,quarter,date,publisher,title,url
대출,2025Q3,2025-08-20,마켓인,신영 '브라이튼 여의도' 배당이익 담보대출 500억 상환 완료 - 마켓인,https://news.google.com/rss/articles/CBMickFVX3lxTE5RV0pxSlJEdFNXWEw0dDNtRFNTcVhwWkd2a1dWMXVibVl6RmtLelV5T1R6eGJUVGNydENaQmRzaHkxYzRkZlJIMzgxVm9mWkU5NDAxV2s5LW52ek1BWDVqaEI5dktVZm4zOEtGeDhKWUxrZw?oc=5
대출,2025Q4,2025-10-15,MBC 뉴스,내일부터 수도권 25억 초과 주택담보 대출 한도 2억 원으로 축소 - MBC 뉴스,https://news.google.com/rss/articles/CBMidEFVX3lxTFBvMTZhTEQ0bE1MV3RQLS0xeVBFdUdvQ1JMRk1KME10M1pNSFhlcEwzbnpFZjlYa2hJR3VtcGZzQkpkUFpGSTVJU3VkSDJuaUpWOHpheFRxQTJmWkR1aGRwcUlGX1kxVGg3clNDSnJPOVh4dmRX0gF0QVVfeXFMUGNmU1hVUWZXZld0Y2dvQ1hhdWZWZU9yRzcwbEJOZk1Ia3B1ZVRJd291ZlYxcEVTMFNFYS13dGRuazljZHl2cGJSdmdFclVDZVduS1NSQk9HaVJOOFBWMWNfTWViWkUzSF9rOE94S05zMkVQYi0?oc=5
대출,2025Q4,2025-10-16,bloter.net,"서울 마곡 '뉴브클라우드힐스', 부동산담보대출로 리파이낸싱 - bloter.net",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1yc1RVZENsb0FfZnBieFZHMXM3MzB5cTEwYkljNGNlYWJ3NDhsdDFHX25EU1Y0Q3ltY0VVaC1ON3RQTWNlN3RYdjFWU0hSeElCMFVVYTh2YlBpUzJXYUp6Vm9CRkxSQnQw0gFsQVVfeXFMUEhyLUdtb1dGdGhPVU5iRmk1RWFPbkFkMFNBU0k5b3BYd3g4Y1BtalFCemJyWDZrZXFlZ3lEdXYyemtZd0pNNm9oWFJWdnZMODhaNUx3SGhxS2sxLWRMS0lndjRfRWdvSVhzblJp?oc=5
대출,2025Q4,2025-10-16,v.daum.net,"서울 마곡 '뉴브클라우드힐스', 부동산담보대출로 리파이낸싱 - v.daum.net",https://news.google.com/rss/articles/CBMiRkFVX3lxTFA2b256c3lnRk1CU3k5ODB3cjRGLXd2SkdLNHVrakhITU1rVEc4Rjd4d0pTZVpCSGR6LXRwQUdDcVFGQUc4T0E?oc=5
리츠,2025Q1,2025-02-27,딜사이트,"켄달스퀘어리츠, 이천4물류센터 매각…배당 안정성 '방점' - 딜사이트",https://news.google.com/rss/articles/CBMiT0FVX3lxTFBQaThJeGxhcV92enpTQ0Z3Umd3UktsaVRGQmZnaFVjM2JuMDc5M2VsNFZVRjZ6c0ozTWcwZEo0a2dsWGdVT2c2OGtWQ3NkVUU?oc=5
리츠,2025Q2,2025-04-02,SPI - 상업용 부동산 콘텐츠 & 데이터 애널리틱스,구 크래프톤 타워로 알려진 그레이츠 판교는 한화리츠의 자산이다? - SPI - 상업용 부동산 콘텐츠 & 데이터 애널리틱스,https://news.google.com/rss/articles/CBMiaEFVX3lxTE1oNm41Tl9za3Y3UGVScHUyU3poenpOZUVSMzRXRVJ5c2tmbW9PN2YwS09Hd0hyNHdLdlVIZVZyTTBiZzl6UXVHUFVVTHpSNWpHNFNMNzJfaW9KNVV1eFM1UThjaFlZdUZm?oc=5
리츠,2025Q2,2025-04-20,bloter.net,"코람코라이프인프라리츠, 1900억 규모 자금 조달…남청라 물류센터 담보대출 차환 - bloter.net",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5tUEhNY1JaV1Y1ZVVtREwtdTZlcXpTb0NacDN3bnR0cG5xRFJBREgySUpDWXdZMFUwM19PM1habWJRaHVwOG9CM0l0U3p3ZWNNU3FBZXpubzVhU1dqUEExaGNpYjY5b2Vv0gFsQVVfeXFMUER2eExiVmtnSVJnQllzcnpkaERGYURDdkZBNFloUzk5bHhmVUZ5dVdYTklaRml2Ymdqc1V1MmpVYk1OS21NcENOd2hUZktKYWk4M0VpamU4WHNtaVhmTHNxdDR0bS1SaHRUazU5?oc=5
리츠,2025Q2,2025-04-23,마켓인,"NH올원리츠, 금싸라기 자산매입 '러시'…다음달 '하이트진로 서초사옥' 인수 - 마켓인",https://news.google.com/rss/articles/CBMickFVX3lxTE41WkhPU0tVQnNKVHV6RUxmdmpZcG8tbDktY1dGQU5MYmlWdUhxWUl0SGVnUEhYWkpzbjR2N2VVMkRURUVwYWZCUndFaDVxeGV2VE04Vl8zNVlIaUZ4b21wNmNtdWRQdDA0aHZseXhZRkd2Zw?oc=5
리츠,2025Q3,2025-07-08,bloter.net,"케이탑리츠, 경기 안양 소재 25억원 규모 부동산 취득 - bloter.net",https://news.google.com/rss/articles/CBMiaEFVX3lxTE5PNGFvTjM4T3M0aWRtYWg3RDVFZmlPZFFsYnhEWXA1eXZFNUNOYnVPMG9hNHdPWFdZM1h2YVVCTjNWM3gya09KZTRIRnU2V1BWQnJFWWRxUGsxaVduMXlmZktpZUFqZGdu0gFsQVVfeXFMTkVLOEtWb3l6RURuTGNlUUpscmpMZlJQbHM4dl9uN0thbF82aE9SYVdQd29tVkI1ZTJ2eEZvZWlrX2hmbzFEdkFXRVZpblZ2S2N5NDZfdTBoLW5lZFRyN0oteW16dWVfc1c5S3Bi?oc=5
리츠,2025Q3,2025-07-14,한국경제,"""목돈 없이 용산 개발 투자 OK""…지역상생리츠에 쏠린 눈 - 한국경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTE4ydFpsYXJLVUpiOTJWYjg0UE42dm5lVkVvek1GYTBXVXdRd2lOMHl2X0xNaXUzRjRIbXVRbnlQNUxGNkVQV2NrYlV0ZE5uV0pFY3ZTN1pVenhNUQ?oc=5
