domain,severity,issue_type,fund_id,source_asset_name,db_asset_candidates_for_fund,recommendation,asset_id,db_asset_name,relation_type
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112006,눈스퀘어,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112008,홈플러스금천점,홈플러스센텀시티점 | 홈플러스동수원점,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112008,홈플러스영등포점,홈플러스센텀시티점 | 홈플러스동수원점,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112016,남산그린빌딩,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112017,G밸리비즈플라자,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112024,트윈트리타워,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112029,노스게이트빌딩,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112038,오토웨이타워,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112039,정동빌딩,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112064,쌈지길,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112086,신도림핀포인트,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112104,태평로빌딩,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112114,PFV_Lotus (지분증권),,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112115,PFV_Lotus (사채),,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112128,시그니쳐타워,아레나스양지물류센터,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112128,V플렉스,아레나스양지물류센터,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,review,source_pair_not_in_supabase_exact,112128,포포인츠바이쉐라톤조선서울명동,아레나스양지물류센터,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
fund_asset_link,update_candidate,source_pair_not_in_supabase_exact,112144,V플렉스,,Check canonical merge/inferred link before deciding whether to update asset_fund_links.,,,
