domain,severity,issue_type,fund_id,field,source_column,db_column,source_value,db_value,difference,recommendation,asset_id,asset_code,db_api_enrichment_status,db_building_ledger_source,source_asset_name,db_asset_candidates_for_fund,db_asset_name,relation_type,source_rows,db_rows
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,글로벌,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_f5220c768a13,A112564001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,OVERSEAS,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_f5220c768a13,A112564001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,유럽,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_a809ac0199e2,A112568001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,OVERSEAS,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_a809ac0199e2,A112568001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,business_stage,사업단계,business_stage,운영/실물,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_7a29ef0974d5,A112569001,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_7a29ef0974d5,A112569001,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_7a29ef0974d5,A112569001,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,site_area,토지면적(㎡),site_area,,6638,,Physical fields may be API-enriched. Review provenance before overwriting.,ast_7a29ef0974d5,A112569001,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,parking,주차대수,parking,,옥내 177 / 옥외 0,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_7a29ef0974d5,A112569001,found,BldRgstHubService.getBrTitleInfo,,,,,,
asset_master,review,asset_field_change_candidate,,business_stage,사업단계,business_stage,운영/실물,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_73e5216b97f6,A112573001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,대한민국,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_73e5216b97f6,A112573001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,KR,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_73e5216b97f6,A112573001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,북미,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_8037c5fed7e0,A112576001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,OVERSEAS,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_8037c5fed7e0,A112576001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,portfolio_region,투자지역,portfolio_region,북미,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_89a55348d21e,A112577001,not_checked,,,,,,,
asset_master,review,asset_field_change_candidate,,country_code,국내/해외,country_code,OVERSEAS,,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,ast_89a55348d21e,A112577001,not_checked,,,,,,,
