domain,severity,issue_type,fund_id,field,source_value,db_value,difference,source_rows,db_rows,recommendation
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112074,remaining,17895144850,17117544850,777600000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112093,committed,737326000000,732142000000,5184000000,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112093,remaining,182656948935,177472948935,5184000000,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112143,committed,30158000000,29666000000,492000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112143,remaining,19813916186,19321916186,492000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112147,committed,120632000000,118664000000,1968000000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112147,remaining,8072471993,6104471993,1968000000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112158,committed,105553000000,103831000000,1722000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112158,remaining,27471948812,25749948812,1722000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112162,committed,37697500000,37082500000,615000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112162,remaining,1035281917,420281917,615000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112173,committed,216768142000,213569614000,3198528000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112173,invested,142254417283,142515404804,-260987521,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112173,remaining,74513724717,71054209196,3459515521,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112180,committed,22618500000,22249500000,369000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112180,remaining,6396962016,6027962016,369000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112182,committed,83091420000,81945470000,1145950000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112182,remaining,83008161043,81862211043,1145950000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112206,committed,150790000000,148330000000,2460000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112206,invested,128375126145,129753138052,-1378011907,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112206,remaining,22414873855,18576861948,3838011907,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112242,committed,186910799003,186910807001,-7998,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112242,invested,186910799003,186910807001,-7998,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112247,committed,45146526000,44410002000,736524000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112247,remaining,21559226393,20822702393,736524000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112250,committed,149243284800,147041121600,2202163200,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112250,remaining,146440606846,144238443646,2202163200,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112267,committed,86576702000,84640674000,1936028000,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112267,remaining,3842775310,1906747311,1936027999,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112269,committed,21503839200,21022970400,480868800,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112269,remaining,4247321300,3766452500,480868800,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112273,committed,88765956000,87541746000,1224210000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112273,remaining,88672390813,87448180813,1224210000,2,2,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112303,committed,75748000000,73890400000,1857600000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112303,invested,7231767973,7195006844,36761129,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112303,remaining,68516232027,66695393156,1820838871,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112333,committed,153750940277,125277366581,28473573696,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112333,invested,153750940277,125277366581,28473573696,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112347,committed,87831500000,86535500000,1296000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112347,remaining,21412336080,20116336080,1296000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112355,committed,690851840000,685239680000,5612160000,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112355,remaining,37424470758,31812310758,5612160000,3,3,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112408,committed,45237000000,44499000000,738000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112408,remaining,10164032232,9426032232,738000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112409,committed,150790000000,148330000000,2460000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112409,remaining,48803945034,46343945034,2460000000,1,1,Review row-level exposure changes before replacing detail table.
beneficiary_exposure,review,fund_exposure_sum_change_candidate,112413,committed,150790000000,148330000000,2460000000,1,1,Review row-level exposure changes before replacing detail table.
