entity_id,canonical_name,display_name,entity_kind,primary_stakeholder_group_code,primary_stakeholder_type_code,primary_stakeholder_type_name,source_systems,latest_base_date,is_active,notes
SH000803,한화,한화,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000804,한화건설,한화건설,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000805,한화생명,한화생명,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000806,한화생명보험,한화생명보험,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000807,한화손해보험,한화손해보험,organization,capital_partner,fund_beneficiary,펀드 수익자,"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000808,한화저축은행,한화저축은행,organization,capital_partner,fund_beneficiary,펀드 수익자,"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000809,한화투자증권,한화투자증권,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000810,한화투자증권(A),한화투자증권(A),organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000811,한화투자증권(C-i),한화투자증권(C-i),organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000812,한화호텔앤드리조트,한화호텔앤드리조트,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000813,해비치호텔앤드리조트,해비치호텔앤드리조트,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000814,해안,해안,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000815,행정공제회,행정공제회,organization,capital_partner,institutional_lp,기관투자자(LP),t5t_dashboard,2026-03-09,Y,
SH000816,헤리티지자산운용,헤리티지자산운용,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000817,현대건설,현대건설,organization,capital_partner,fund_beneficiary,펀드 수익자,"beneficiary_snapshot,counterparty_seed",2025-11-30,Y,
SH000818,현대산업개발,현대산업개발,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000819,현대아산,현대아산,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000820,현대엔지니어링,현대엔지니어링,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000821,현대인베스트먼트자산운용㈜ 1호 펀드,현대인베스트먼트자산운용㈜ 1호 펀드,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000822,현대차정몽구재단,현대차정몽구재단,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000823,현대차증권,현대차증권,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000824,현대카드,현대카드,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000825,현대캐피탈,현대캐피탈,organization,financing_partner,lender,금융기관(대주),"beneficiary_snapshot,lender_snapshot,t5t_dashboard",2026-04-17,Y,
SH000826,현대커머셜,현대커머셜,organization,capital_partner,fund_beneficiary,펀드 수익자,"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000827,현대해상화재보험,현대해상화재보험,organization,capital_partner,fund_beneficiary,펀드 수익자,"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000828,호텔롯데,호텔롯데,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000829,홈플러스,홈플러스,organization,occupier_customer,tenant,임차인,t5t_dashboard,2026-04-12,Y,
SH000830,홍콩상하이은행,홍콩상하이은행,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000831,효성중공업,효성중공업,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
SH000832,효성캐피탈,효성캐피탈,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000833,휴온스글로벌,휴온스글로벌,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000834,흥국생명보험,흥국생명보험,organization,financing_partner,lender,금융기관(대주),"beneficiary_snapshot,lender_snapshot",2025-11-30,Y,
SH000835,흥국저축은행,흥국저축은행,organization,financing_partner,lender,금융기관(대주),lender_snapshot,2025-11-30,Y,
SH000836,흥국화재해상보험,흥국화재해상보험,organization,capital_partner,fund_beneficiary,펀드 수익자,beneficiary_snapshot,2025-11-30,Y,
SH000837,희림,희림,organization,project_partner,operator_contractor,운영/시공 파트너,counterparty_seed,,Y,
