group_name,counterparty_registered_name,categories,source_systems,project_count_max,source_record_total,latest_base_date,priority_score,importance_level,coverage_note
더케이저축은행,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",4,7,2025-11-30,47,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=7"
ABL생명보험(에이비엘생명보험),,['?????(LP)'],beneficiary_snapshot,4,6,2025-11-30,46,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=6"
마스턴투자운용,,['?????(LP)'],beneficiary_snapshot,4,6,2025-11-30,46,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=6"
이지스고유,,['?????(LP)'],beneficiary_snapshot,4,6,2025-11-30,46,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=6"
태영건설,(주)태영건설,['?????(LP)'],"beneficiary_snapshot, counterparty_seed",4,6,2025-11-30,46,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=6"
개인(강수현),,['?????(LP)'],beneficiary_snapshot,4,5,2025-11-30,45,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=5"
신용협동조합중앙회,,['?????(LP)'],beneficiary_snapshot,4,5,2025-11-30,45,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=5"
신협중앙회(신용협동조합중앙회),,"['????(??)', 'FI']",lender_snapshot,4,5,2025-11-30,45,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=5"
이지스레지던스리츠,,['?????(LP)'],beneficiary_snapshot,4,5,2025-11-30,45,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=5"
중소기업중앙회,,['?????(LP)'],beneficiary_snapshot,4,5,2025-11-30,45,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=5"
DB저축은행,,"['????(??)', 'FI']",lender_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
KDB산은캐피탈,,"['????(??)', 'FI']",lender_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
금성백조주택,,['?????(LP)'],beneficiary_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
대한소방공제회,,['?????(LP)'],beneficiary_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
삼성물산,삼성물산(주),['?????(LP)'],"beneficiary_snapshot, counterparty_seed",4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
성담,,['?????(LP)'],beneficiary_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
스탠다드차타드은행,,"['????(??)', 'FI']",lender_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
신협(주민신용협동조합),,"['????(??)', 'FI']",lender_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
신협대주단,,"['????(??)', 'FI']",lender_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
유안타저축은행,,"['????(??)', 'FI']",lender_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
이지스인컴앤그로스일반사모부동산자투자신탁제2호(Blind),,['?????(LP)'],beneficiary_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
한국자산관리공사,,['?????(LP)'],beneficiary_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
현대차증권,,['?????(LP)'],beneficiary_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
흥국화재해상보험,,['?????(LP)'],beneficiary_snapshot,4,4,2025-11-30,44,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=4"
현대건설,현대건설(주),['?????(LP)'],"beneficiary_snapshot, counterparty_seed",4,3,2025-11-30,43,Medium,"Initial beneficiary/lender seed from local v0110. project_max=4, source_records=3"
DB생명보험,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",3,7,2025-11-30,37,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=7"
MG새마을금고대주단,,"['????(??)', 'FI']",lender_snapshot,3,6,2025-11-30,36,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=6"
SBI저축은행,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",3,6,2025-11-30,36,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=6"
한화손해보험,,['?????(LP)'],"beneficiary_snapshot, lender_snapshot",3,5,2025-11-30,35,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=5"
흥국생명보험,,"['????(??)', 'FI']","beneficiary_snapshot, lender_snapshot",3,5,2025-11-30,35,Low,"Initial beneficiary/lender seed from local v0110. project_max=3, source_records=5"
