alias_id,entity_id,alias_name,alias_type,source_system,confidence,notes
AL000088,SH000088,KB캐피탈,exact,seed_master,1.0,
AL000089,SH000089,KCC건설,exact,seed_master,1.0,
AL000090,SH000090,KDB산업은행,exact,seed_master,1.0,
AL000091,SH000091,KDB산은캐피탈,exact,seed_master,1.0,
AL000092,SH000092,KDB생명보험,exact,seed_master,1.0,
AL000093,SH000093,KDCIP 2호(Blind),exact,seed_master,1.0,
AL000094,SH000094,KDCIP(A종)(Blind),exact,seed_master,1.0,
AL000095,SH000095,KG파트너스,exact,seed_master,1.0,
AL000096,SH000096,KINX,exact,seed_master,1.0,
AL000097,SH000097,KT,exact,seed_master,1.0,
AL000098,SH000098,KT&G,exact,seed_master,1.0,
AL000099,SH000099,LG CNS,exact,seed_master,1.0,
AL000100,SH000100,LG U+,exact,seed_master,1.0,
AL000101,SH000101,LG전자,exact,seed_master,1.0,
AL000102,SH000102,LS전선,exact,seed_master,1.0,
AL000103,SH000103,LX판토스,exact,seed_master,1.0,
AL000104,SH000104,M&G (APF 1 S.a.r.l),exact,seed_master,1.0,
AL000105,SH000105,M&G (APF 2 S.a.r.l),exact,seed_master,1.0,
AL000106,SH000106,M&G(TS ASIA),exact,seed_master,1.0,
AL000107,SH000107,MG새마을금고,exact,seed_master,1.0,
AL000108,SH000108,MG새마을금고(용인중앙),exact,seed_master,1.0,
AL000109,SH000109,MG새마을금고(이태원1동),exact,seed_master,1.0,
AL000110,SH000110,MG새마을금고대주단,exact,seed_master,1.0,
AL000111,SH000111,MG새마을금고중앙회,exact,seed_master,1.0,
AL000112,SH000112,MG캐피탈,exact,seed_master,1.0,
AL000113,SH000113,Morgan stanley,exact,seed_master,1.0,
AL000114,SH000114,NH농협생명보험,exact,seed_master,1.0,
AL000115,SH000115,NH농협손해보험,exact,seed_master,1.0,
AL000116,SH000116,NH농협은행,exact,seed_master,1.0,
AL000117,SH000117,NH농협캐피탈,exact,seed_master,1.0,
AL000118,SH000118,NH저축은행,exact,seed_master,1.0,
AL000119,SH000119,NH투자증권,exact,seed_master,1.0,
AL000120,SH000120,NH헤지자산운용,exact,seed_master,1.0,
AL000121,SH000121,NPS,exact,seed_master,1.0,
AL000122,SH000122,NTI,exact,seed_master,1.0,
AL000123,SH000123,NUBIRA PTE. LTD.,exact,seed_master,1.0,
AL000124,SH000124,North Sky Luge No 4 Limited,exact,seed_master,1.0,
AL000125,SH000125,Nuveen,exact,seed_master,1.0,
AL000126,SH000126,Nuveen Group Holdings Limited,exact,seed_master,1.0,
AL000127,SH000127,OCBC Bank,exact,seed_master,1.0,
AL000128,SH000128,OSB저축은행,exact,seed_master,1.0,
AL000129,SH000129,Pinnacle Eagle Ltd.,exact,seed_master,1.0,
AL000130,SH000130,Pinnacle KR Asset PTE.LTD,exact,seed_master,1.0,
AL000131,SH000131,RECO JUNIPER PRIVATE LIMITED,exact,seed_master,1.0,
AL000132,SH000132,Reco Marigold Private Limited.,exact,seed_master,1.0,
AL000133,SH000133,Rsquare,exact,seed_master,1.0,
AL000134,SH000134,SBI저축은행,exact,seed_master,1.0,
AL000135,SH000135,SC제일은행,exact,seed_master,1.0,
AL000136,SH000136,SGC E&C,exact,seed_master,1.0,
AL000137,SH000137,SKB,exact,seed_master,1.0,
AL000138,SH000138,SK디앤디,exact,seed_master,1.0,
AL000139,SH000139,SK에코플랜트,exact,seed_master,1.0,
AL000140,SH000140,SPC,exact,seed_master,1.0,
AL000141,SH000141,STAK,exact,seed_master,1.0,
AL000142,SH000142,TDH2,exact,seed_master,1.0,
AL000143,SH000143,TTN,exact,seed_master,1.0,
AL000144,SH000144,Tow Heng Tan,exact,seed_master,1.0,
AL000145,SH000145,WSP,exact,seed_master,1.0,
AL000146,SH000146,Washington D.C.,exact,seed_master,1.0,
AL000147,SH000147,Woodies,exact,seed_master,1.0,
AL000148,SH000148,Woori 아메리카,exact,seed_master,1.0,
AL000149,SH000149,YG자산개발 및 개인3인,exact,seed_master,1.0,
AL000150,SH000150,Yeongdong(Korea)Pte.Ltd,exact,seed_master,1.0,
AL000151,SH000151,"iM뱅크(구, DGB대구은행)",exact,seed_master,1.0,
AL000152,SH000152,"iM캐피탈(구, DGB캐피탈)",exact,seed_master,1.0,
AL000153,SH000153,가비아,exact,seed_master,1.0,
AL000154,SH000154,간삼,exact,seed_master,1.0,
AL000155,SH000155,개인,exact,seed_master,1.0,
AL000156,SH000156,개인 투자자,exact,seed_master,1.0,
AL000157,SH000157,개인(강대우),exact,seed_master,1.0,
AL000158,SH000158,개인(강민구),exact,seed_master,1.0,
AL000159,SH000159,개인(강수현),exact,seed_master,1.0,
AL000160,SH000160,개인(강영구),exact,seed_master,1.0,
AL000161,SH000161,개인(김건호),exact,seed_master,1.0,
AL000162,SH000162,개인(김남호),exact,seed_master,1.0,
AL000163,SH000163,개인(김남희),exact,seed_master,1.0,
AL000164,SH000164,개인(김도현),exact,seed_master,1.0,
AL000165,SH000165,개인(김민지),exact,seed_master,1.0,
AL000166,SH000166,개인(김율희),exact,seed_master,1.0,
AL000167,SH000167,개인(김주성),exact,seed_master,1.0,
AL000168,SH000168,개인(김주형),exact,seed_master,1.0,
AL000169,SH000169,개인(김주희),exact,seed_master,1.0,
AL000170,SH000170,개인(김태호),exact,seed_master,1.0,
AL000171,SH000171,개인(김희원),exact,seed_master,1.0,
AL000172,SH000172,개인(박금자),exact,seed_master,1.0,
AL000173,SH000173,개인(박상태),exact,seed_master,1.0,
AL000174,SH000174,개인(백현미),exact,seed_master,1.0,
AL000175,SH000175,개인(이수연),exact,seed_master,1.0,
AL000176,SH000176,개인(이인영),exact,seed_master,1.0,
AL000177,SH000177,개인(조갑주),exact,seed_master,1.0,
AL000178,SH000178,개인(주구슬),exact,seed_master,1.0,
AL000179,SH000179,개인1(A종),exact,seed_master,1.0,
AL000180,SH000180,개인2(A종),exact,seed_master,1.0,
AL000181,SH000181,개인3(A종),exact,seed_master,1.0,
AL000182,SH000182,개인투자자,exact,seed_master,1.0,
AL000183,SH000183,개인투자자 포함,exact,seed_master,1.0,
AL000184,SH000184,개인투자자 포함(공모펀드),exact,seed_master,1.0,
AL000185,SH000185,개인투자자들,exact,seed_master,1.0,
AL000186,SH000186,건강한시간,exact,seed_master,1.0,
AL000187,SH000187,건설근로자공제회,exact,seed_master,1.0,
AL000188,SH000188,건원엔지니어링,exact,seed_master,1.0,
AL000189,SH000189,게우트플래닝,exact,seed_master,1.0,
AL000190,SH000190,경남은행,exact,seed_master,1.0,
AL000191,SH000191,경방,exact,seed_master,1.0,
AL000192,SH000192,경찰공제회,exact,seed_master,1.0,
AL000193,SH000193,고용노동부 산재보험기금,exact,seed_master,1.0,
AL000194,SH000194,골든웨이브(유),exact,seed_master,1.0,
AL000195,SH000195,공모,exact,seed_master,1.0,
AL000196,SH000196,공무원연금공단,exact,seed_master,1.0,
AL000197,SH000197,공제회,exact,seed_master,1.0,
AL000198,SH000198,과학기술인공제회,exact,seed_master,1.0,
AL000199,SH000199,광주은행,exact,seed_master,1.0,
AL000200,SH000200,교보리얼코,exact,seed_master,1.0,
AL000201,SH000201,교보생명,exact,seed_master,1.0,
AL000202,SH000202,교보생명보험,exact,seed_master,1.0,
AL000203,SH000203,교보생명보험(연금),exact,seed_master,1.0,
AL000204,SH000204,교보자산신탁,exact,seed_master,1.0,
AL000205,SH000205,교보증권,exact,seed_master,1.0,
AL000206,SH000206,교원공제회,exact,seed_master,1.0,
AL000207,SH000207,교원라이프,exact,seed_master,1.0,
AL000208,SH000208,교원인베스트,exact,seed_master,1.0,
AL000209,SH000209,교정공제회,exact,seed_master,1.0,
AL000210,SH000210,교직원공제회,exact,seed_master,1.0,
AL000211,SH000211,구봉산업,exact,seed_master,1.0,
AL000212,SH000212,국가철도공단,exact,seed_master,1.0,
AL000213,SH000213,국민연금,exact,seed_master,1.0,
AL000214,SH000214,국민연금공단,exact,seed_master,1.0,
AL000215,SH000215,국민연금공단(1종),exact,seed_master,1.0,
AL000216,SH000216,국민연금공단(2종),exact,seed_master,1.0,
AL000217,SH000217,군인공제회,exact,seed_master,1.0,
AL000218,SH000218,굿포어스,exact,seed_master,1.0,
AL000219,SH000219,그린웨이브알앤디,exact,seed_master,1.0,
AL000220,SH000220,근영농산,exact,seed_master,1.0,
AL000221,SH000221,금성백조건설,exact,seed_master,1.0,
AL000222,SH000222,금성백조주택,exact,seed_master,1.0,
AL000223,SH000223,금화저축은행,exact,seed_master,1.0,
AL000224,SH000224,기관투자자,exact,seed_master,1.0,
AL000225,SH000225,기안건축,exact,seed_master,1.0,
AL000226,SH000226,남산드림힐튼제일차,exact,seed_master,1.0,
AL000227,SH000227,남양저축은행,exact,seed_master,1.0,
AL000228,SH000228,네오밸류,exact,seed_master,1.0,
AL000229,SH000229,넥슨코리아,exact,seed_master,1.0,
AL000230,SH000230,노란우산공제회,exact,seed_master,1.0,
AL000231,SH000231,농업협동조합중앙회,exact,seed_master,1.0,
AL000232,SH000232,농협(가야농업협동조합),exact,seed_master,1.0,
AL000233,SH000233,농협(감곡농업협동조합),exact,seed_master,1.0,
AL000234,SH000234,농협(강내농업협동조합),exact,seed_master,1.0,
AL000235,SH000235,농협(강동농업협동조합),exact,seed_master,1.0,
AL000236,SH000236,농협(거제해금강농업협동조합),exact,seed_master,1.0,
AL000237,SH000237,농협(고흥농업협동조합),exact,seed_master,1.0,
AL000238,SH000238,농협(광명농업협동조합),exact,seed_master,1.0,
AL000239,SH000239,농협(구림농업협동조합),exact,seed_master,1.0,
AL000240,SH000240,농협(규암농업협동조합),exact,seed_master,1.0,
