group_name,group_code,member_entities,source_systems,group_mapping_status,entity_count,role_count,latest_base_date,dominant_stakeholder_type
롯데쇼핑,group,롯데쇼핑,"beneficiary_snapshot,t5t_dashboard",self,1,2,2026-03-30,임차인
롯데캐피탈,group,롯데캐피탈,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
리테일투자자,group,리테일투자자,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
마르스자산운용,group,마르스자산운용,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
마스터자산운용,group,마스터자산운용,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
마스턴투자운용,group,마스턴투자운용,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
마크자산운용(주),group,마크자산운용(주),beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
맥서브,group,맥서브,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
머큐리자산운용,group,머큐리자산운용,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
메리츠,meritz,메리츠 | 메리츠증권 | 메리츠캐피탈 | 메리츠화재 | 메리츠화재해상보험,"beneficiary_snapshot,lender_snapshot,t5t_dashboard",mapped,5,7,2026-04-13,금융기관(대주)
메트라이프생명보험,group,메트라이프생명보험,"beneficiary_snapshot,lender_snapshot",self,1,2,2025-11-30,금융기관(대주)
모니모남산제일차,group,모니모남산제일차,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
모멘스솔루션,group,모멘스솔루션,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
모아저축은행,group,모아저축은행,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
무궁화신탁,group,무궁화신탁,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
무림캐피탈,group,무림캐피탈,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
무영,group,무영,counterparty_seed,self,1,1,,운영/시공 파트너
문창신용협동조합,group,문창신용협동조합,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
미래에셋,miraeasset,미래에셋 | 미래에셋생명 | 미래에셋자산운용OCIO | 미래에셋증권 | 미래에셋캐피탈,"beneficiary_snapshot,lender_snapshot,t5t_dashboard",mapped,5,6,2026-04-13,금융기관(대주)
미래에셋 주택기금,group,미래에셋 주택기금,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
미정,group,미정,"beneficiary_snapshot,lender_snapshot",self,1,2,2025-11-30,금융기관(대주)
밸류업베스트,group,밸류업베스트,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
법무법인,group,법무법인,t5t_dashboard,self,1,1,2026-04-14,주간사/자문
별정우체국연금관리단,group,별정우체국연금관리단,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
부림저축은행,group,부림저축은행,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
부산은행,group,부산은행,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
블랙스톤,group,블랙스톤,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
비공개,group,비공개,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
비씨카드,group,비씨카드,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
비욘드남산제사차,group,비욘드남산제사차,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
비욘드남산제이차,group,비욘드남산제이차,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
사학연금,group,사학연금,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
산림조합,group,산림조합,t5t_dashboard,self,1,1,2026-04-17,기관투자자(LP)
산림조합중앙회,group,산림조합중앙회,"beneficiary_snapshot,lender_snapshot",self,1,2,2025-11-30,금융기관(대주)
삼미건설,group,삼미건설,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
삼성SRA1호,sra1,삼성SRA1호,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
삼성SRA국내담보대출일반사모부동산투자신탁4호,sra_4,삼성SRA국내담보대출일반사모부동산투자신탁4호,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
삼성SRA국내담보대출일반사모부동산투자신탁제5호,sra_5,삼성SRA국내담보대출일반사모부동산투자신탁제5호,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
삼성물산,group,삼성물산,"beneficiary_snapshot,counterparty_seed",self,1,2,2025-11-30,운영/시공 파트너
삼성생명,group,삼성생명,lender_snapshot,self,1,1,2025-11-30,금융기관(대주)
삼성생명보험,group,삼성생명보험,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
삼성자산운용OCIO,ocio,삼성자산운용OCIO,beneficiary_snapshot,self,1,1,2025-11-30,펀드 수익자
