crm_db_version,entity_id,canonical_name,display_name,group_name,group_code,group_mapping_status,group_rule_id,counterparty_general_name,counterparty_registered_name,counterparty_category,counterparty_resource_list,related_projects_text,current_contact_points,next_target_project,entity_kind,primary_stakeholder_group_code,primary_stakeholder_type_code,primary_stakeholder_type_name,role_count,role_types,role_subtypes,source_systems,source_record_total,project_count_max,latest_base_date,owner_department,owner_manager,record_status,importance_level,relationship_status,interest_topics,key_requests,risk_notes,next_action,next_meeting_date,coverage_note
v0110,SH000503,신협(원주신용협동조합),신협(원주신용협동조합),신협(원주신용협동조합),group,self,,신협(원주신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,2,2,2025-11-30,"전략펀드운용1실,자산관리1파트1",이병관,seeded,,,,,,,,
v0110,SH000504,신협(위미신용협동조합),신협(위미신용협동조합),신협(위미신용협동조합),group,self,,신협(위미신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000505,신협(은평신용협동조합),신협(은평신용협동조합),신협(은평신용협동조합),group,self,,신협(은평신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000506,신협(의왕신용협동조합),신협(의왕신용협동조합),신협(의왕신용협동조합),group,self,,신협(의왕신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000507,신협(이천신용협동조합),신협(이천신용협동조합),신협(이천신용협동조합),group,self,,신협(이천신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,3,3,2025-11-30,"전략펀드운용1실,자산관리2파트4",김회인,seeded,,,,,,,,
v0110,SH000508,신협(인천치과의사신용협동조합),신협(인천치과의사신용협동조합),신협(인천치과의사신용협동조합),group,self,,신협(인천치과의사신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,2,2,2025-11-30,자산관리2파트4,이형철,seeded,,,,,,,,
v0110,SH000509,신협(일산신용협동조합),신협(일산신용협동조합),신협(일산신용협동조합),group,self,,신협(일산신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000510,신협(장안신용협동조합),신협(장안신용협동조합),신협(장안신용협동조합),group,self,,신협(장안신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,3,3,2025-11-30,"전략펀드운용1실,자산관리2파트4",김회인,seeded,,,,,,,,
v0110,SH000511,신협(제민신용협동조합),신협(제민신용협동조합),신협(제민신용협동조합),group,self,,신협(제민신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000512,신협(제주신용협동조합),신협(제주신용협동조합),신협(제주신용협동조합),group,self,,신협(제주신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000513,신협(주민신용협동조합),신협(주민신용협동조합),신협(주민신용협동조합),group,self,,신협(주민신용협동조합),,,,,,,group,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,4,4,2025-11-30,"전략펀드운용1실,자산관리2파트4",김회인,seeded,,,,,,,,
v0110,SH000514,신협(주성신용협동조합),신협(주성신용협동조합),신협(주성신용협동조합),group,self,,신협(주성신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000515,신협(중앙신용협동조합),신협(중앙신용협동조합),신협(중앙신용협동조합),group,self,,신협(중앙신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000516,신협(청량리신용협동조합),신협(청량리신용협동조합),신협(청량리신용협동조합),group,self,,신협(청량리신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000517,신협(청운신용협동조합),신협(청운신용협동조합),신협(청운신용협동조합),group,self,,신협(청운신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,5,5,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000518,신협(청주상당신용협동조합),신협(청주상당신용협동조합),신협(청주상당신용협동조합),group,self,,신협(청주상당신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,"전략펀드운용1실,자산관리1파트1",이병관,seeded,,,,,,,,
v0110,SH000519,신협(청주성동신용협동조합),신협(청주성동신용협동조합),신협(청주성동신용협동조합),group,self,,신협(청주성동신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000520,신협(한라신용협동조합),신협(한라신용협동조합),신협(한라신용협동조합),group,self,,신협(한라신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000521,신협(한우리신용협동조합),신협(한우리신용협동조합),신협(한우리신용협동조합),group,self,,신협(한우리신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,"전략펀드운용1실,자산관리2파트4",김회인,seeded,,,,,,,,
v0110,SH000522,신협(현대제철신용협동조합),신협(현대제철신용협동조합),신협(현대제철신용협동조합),group,self,,신협(현대제철신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000523,신협(홍성신용협동조합),신협(홍성신용협동조합),신협(홍성신용협동조합),group,self,,신협(홍성신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000524,신협(화곡신용협동조합),신협(화곡신용협동조합),신협(화곡신용협동조합),group,self,,신협(화곡신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,2,2,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000525,신협(화성제일신용협동조합),신협(화성제일신용협동조합),신협(화성제일신용협동조합),group,self,,신협(화성제일신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,개발,이창준,seeded,,,,,,,,
v0110,SH000526,신협(화지산신용협동조합),신협(화지산신용협동조합),신협(화지산신용협동조합),group,self,,신협(화지산신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,2,2,2025-11-30,라이프리빙파트,김완혁,seeded,,,,,,,,
v0110,SH000527,신협(희원신용협동조합),신협(희원신용협동조합),신협(희원신용협동조합),group,self,,신협(희원신용협동조합),,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,1,1,2025-11-30,IOTA TF,조영비,seeded,,,,,,,,
v0110,SH000528,신협대주단,신협대주단,신협대주단,group,self,,신협대주단,,,,,,,organization,financing_partner,lender,금융기관(대주),1,금융기관(대주),상호금융,lender_snapshot,4,4,2025-11-30,자산관리2파트1,이경훈,seeded,,,,,,,,
