entity_role_id,entity_id,canonical_name,stakeholder_group_code,stakeholder_group_name,stakeholder_type_code,stakeholder_type_name,stakeholder_subtype_code,stakeholder_subtype_name,source_system,source_role_label,source_records,project_count,latest_base_date,owner_department,owner_manager,raw_type_label,raw_class_label,t5t_type_name,confidence,status,notes
SH000201-R01,SH000201,교보생명,financing_partner,금융 파트너,lender,금융기관(대주),insurance_company,보험사,lender_snapshot,대주,8,7,2025-11-30,개발관리실,최성현,,보험사,금융기관(대주),0.95,active,
SH000202-R01,SH000202,교보생명보험,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,insurance_company,보험사,beneficiary_snapshot,수익자,9,9,2025-11-30,글로벌펀드운용1,이수현,전문투자자,보험사,기관투자자(LP),0.95,active,
SH000203-R01,SH000203,교보생명보험(연금),capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,insurance_company,보험사,beneficiary_snapshot,수익자,1,1,2025-11-30,글로벌펀드운용1,이수현,전문투자자,보험사,기관투자자(LP),0.95,active,
SH000204-R01,SH000204,교보자산신탁,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,beneficiary_unknown,수익자 일반,beneficiary_snapshot,수익자,3,3,2025-11-30,사업,유미현,,,기관투자자(LP),0.8,active,
SH000205-R01,SH000205,교보증권,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,securities_company,증권사,beneficiary_snapshot,수익자,1,1,2025-11-30,헤지펀드운용파트,이병윤,전문투자자,증권사,기관투자자(LP),0.95,active,
SH000206-R01,SH000206,교원공제회,capital_partner,자본 파트너,institutional_lp,기관투자자(LP),lp_unknown,LP 일반,t5t_dashboard,기관투자자(LP),3,1,2026-03-27,,,기관투자자(LP),,기관투자자(LP),0.75,active,T5T 로그 키워드 기반 식별
SH000207-R01,SH000207,교원라이프,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,insurance_company,보험사,beneficiary_snapshot,수익자,1,1,2025-11-30,글로벌펀드운용3,김규식,전문투자자,보험사,기관투자자(LP),0.95,active,
SH000208-R01,SH000208,교원인베스트,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,asset_manager,자산운용사,beneficiary_snapshot,수익자,1,1,2025-11-30,글로벌펀드운용3,김규식,전문투자자,자산운용사,기관투자자(LP),0.95,active,
SH000209-R01,SH000209,교정공제회,capital_partner,자본 파트너,fund_beneficiary,펀드 수익자,mutual_aid_association,공제회,beneficiary_snapshot,수익자,1,1,2025-11-30,CM그룹,김지오,전문투자자,공제회,기관투자자(LP),0.95,active,
SH000210-R01,SH000210,교직원공제회,capital_partner,자본 파트너,institutional_lp,기관투자자(LP),lp_unknown,LP 일반,t5t_dashboard,기관투자자(LP),7,0,2026-04-13,,,기관투자자(LP),,기관투자자(LP),0.75,active,T5T 로그 키워드 기반 식별
