펀드코드,약칭,펀드명,섹터
112090,103호(B),이지스제103호전문투자형사모부동산투자유한회사(Class B),리테일
112758,T-프런티어1호(C),이지스코어멀티에셋EMP일반사모투자신탁제1호(Class C),기타
112063,70호,이지스글로벌일반사모부동산투자신탁70호,오피스
190015,572호(보통주),이지스제572호부동산일반사모투자회사(보통주),데이터센터
112151,152호,이지스전문투자형사모투자신탁152호(재간접형), 
200044,575호,이지스미국일반사모부동산투자신탁575호,대출채권
112441,고배당리츠(S-P2),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class S-P2,지분증권
112652,부산특구1호(C-s),이지스부산특구부동산투자신탁제1호(C-S),오피스
112232,226호,이지스SH2전문투자형사모부동산투자신탁226호, 
112650,부산특구1호(A-e),이지스부산특구부동산투자신탁제1호(C-e),오피스
112227,214호(C),이지스전문투자형사모투자신탁214호(Class C), 
112492,389호(2종),이지스전문투자형사모부동산투자신탁제389호(2종),리테일
300084,블루ON2호(ClassI),이지스블루ON일반사모투자신탁제2호(Class I),기타
112121,105호(C1),이지스전문투자형사모부동산투자신탁105호 (Class C1), 
112233,223호,이지스전문투자형사모부동산투자신탁223호, 
112218,178호(1종),이지스전문투자형사모부동산투자신탁178호 1종,오피스
112754,리츠온1호,이지스 리츠온(REITs ON) 일반사모투자신탁 제1호, 
112101,100호,이지스일반사모부동산투자신탁100호,오피스
112084,95-2호,이지스전문투자형사모부동산투자신탁제95-2호, 
112772,ISP 1호,IGIS Strategic Partnership I,기타
112718,485호,이지스미국일반사모부동산투자신탁485호,복합(오피스)
112097,109-1호,이지스글로벌일반사모부동산자투자신탁109-1호,대출채권
P00021,P청담PH129,청담펜트하우스 PFV,주거
112724,라이징K리츠(A-e),이지스 라이징 K리츠 부동산투자신탁(리츠-재간접형)A-e class,지분증권
112376,330호(1종),이지스일반사모부동산투자신탁제330호(1종),복합(리테일)
112671,472호(보통주),이지스제472호일반사모부동산투자회사(보통주),데이터센터
R00005,R글로벌성장,이지스글로벌성장위탁관리부동산투자회사 주식회사, 
112791,리빙플랫폼1호(3종),이지스리빙플랫폼일반사모부동산자투자신탁제1호(3종),지분증권
112176,166호(A종),이지스임대주택일반사모부동산투자신탁166호(재간접형) A종,주거
300007,하이일드공모주1호(A),이지스 하이일드 공모주 일반사모투자신탁 제1호(Class A),기타
112426,고배당리츠(A),이지스글로벌고배당리츠플러스부동산투자신탁(리츠-재간접형) Class A,지분증권
112801,기회추구2-3호,이지스기회추구일반사모부동산모투자신탁제2-3호, 
112294,270호,이지스전문투자형사모부동산투자신탁270호,특별자산
112253,239호(A),이지스부동산투자신탁239호 (Class A), 
112358,310호(A),이지스글로벌공모부동산투자신탁310호(파생형) (Class A), 
120060,반포1-1호,이지스반포스페셜시츄에이션일반사모부동산투자신탁제1-1호,NPL
112251,238호,이지스센츄리온제238호전문투자형사모부동산투자유한회사,호텔
120113,421호(C-1종),이지스일반사모부동산투자신탁421호(C-1종),지분증권
190006,542호(1종),이지스제542호부동산일반사모투자회사(제1종),주거
112245,230호,이지스전문투자형230호사모부동산투자유한회사(운용),물류
112130,116-3호,이지스일반사모부동산자투자신탁116-3호,물류
112091,96호,이지스전문사모부동산투자신탁96호, 
200045,580호,이지스글로벌부동산일반사모투자회사580호,주거
112166,162호(운용),이지스전문투자형사모투자신탁162호(운용),주거
112230,201호,이지스글로벌일반사모부동산투자신탁201호,리테일
P00040,P산하아이에프피,산하아이에프피피에프브이 주식회사,물류
112236,228호,이지스미국일반사모부동산투자신탁228호,호텔
