펀드코드,펀드명,AUM(약정),대주정보,수익자정보,자산정보
200036,576호,143900000000,X,O,O
112250,205호,143523777600,X,O,O
112582,417-1호,143451857227,X,O,O
112411,리츠섹터SMA1호,142548000000,X,O,O
112543,89-1호,142425950885,X,O,O
120056,NPL4호,139200000000,X,O,O
112380,기회추구 2호,137700000000,X,X,X
112036,37-2호,135625967128,X,O,O
112191,163호,129171390460,X,X,O
112042,43호,128800000000,X,X,X
112648,445호,125897850000,X,O,O
200030,실물우선주1호,125000000000,X,O,O
120058,장기지분형1-2호,123910000000,X,O,O
112495,리츠포트폴리오 1호,123000000000,X,O,O
R00010,R글로벌레지던스,122688647954,X,X,O
300015,K리츠포커스,122215565705,X,O,O
P00019,P상봉IRD,121554943000,O,X,O
112721,장기지분형1-1호(운용),120000000000,X,X,X
112410,350호,118681468676,X,O,O
112442,354호,116400000000,X,O,O
190013,560호,116000000000,X,O,O
112147,129호,115120000000,X,O,O
112621,448-1호,110702270000,X,O,O
112383,327호,105895216123,X,O,O
200009,529호,101046580000,X,O,O
112158,142호,100730000000,X,O,O
112607,348-2호,100730000000,X,O,O
112715,장기안정형주거플랫폼 1호,100000000000,X,O,X
112611,하우징플랫폼 1호,100000000000,X,O,O
112584,435호,100000000000,X,O,O
112748,안산,95450000000,X,X,O
120104,코어에너지인프라2호,95000000000,X,O,X
112619,450호,93535000000,X,O,O
190005,542호,92670500000,O,X,O
112200,190호,91712652496,X,O,O
112623,448-3호,90657000000,X,X,X
112197,170호,88846000000,X,X,X
112687,울산신항인프라,88200000000,X,O,O
112159,SP청주,87735160783,X,O,O
190009,랜드마크부동산,85000000000,X,O,O
112273,58-1호,84835782000,X,O,O
112347,260호,84465500000,X,O,O
112803,494호,84465500000,X,O,O
200024,549호,84465500000,X,O,O
112362,316호,83916015400,X,X,O
112324,281-1호,82985210690,X,O,O
112174,150호,80584000000,X,O,O
112182,58호,79412490000,X,O,O
112795,491호,79145000000,X,O,O
112683,468-2호,78000000000,X,O,O
112055,59호,77571524187,X,X,X
112267,209호,77207738000,X,O,O
P00026,P성수티에스,77000000000,O,X,O
112482,366호,75850019000,X,O,O
112303,274호,73514400000,X,O,O
112684,348-3호,72021950000,X,O,O
112617,447호,71950000000,X,O,O
112030,20-2호,71950000000,X,O,O
200004,504호,71950000000,X,O,O
112658,455호,71230500000,X,O,O
112667,465호,67791150000,X,O,O
200020,글로벌인프라4호,67572400000,X,O,O
112234,217호,66000000000,X,O,O
190001,517호,64000000000,X,O,O
112665,461호,63726730225,X,O,O
112183,169호,61839035105,X,O,O
112504,392호,60000000000,X,O,O
112466,377호,60000000000,X,O,O
120015,도심포트폴리오,59384114332,X,X,X
200011,532호,58106700000,X,O,O
112601,444호,57919750000,X,O,O
112201,150-1호,57560000000,X,O,O
112486,382호,57560000000,X,O,O
200037,글로벌인프라6호,57560000000,X,O,O
112568,414호,57486895200,X,O,O
P00034,P울산KTX,55000000000,O,X,O
P00028,P디에스,53900000000,X,X,O
P00036,P성수티에스2차,53000000000,O,X,O
112445,리빙플랫폼 1호,51500000000,X,X,X
112471,기회추구2-2-1호,51269471360,X,X,X
112739,487호,51017162000,X,O,O
300038,리츠포트폴리오3호,51000000000,X,O,O
112074,57호,50679300000,X,O,O
112577,430호,50365000000,X,O,O
200026,557호,50365000000,X,O,O
112578,431호,50365000000,X,O,O
112576,429호,50365000000,X,O,O
200025,556호,50365000000,X,O,O
200010,531호,50365000000,X,O,O
112519,이익참여형메자닌 1-1호,50005500000,O,X,O
112699,471호,50000000000,X,O,O
120057,SBW턴어라운드,49000000000,X,X,X
112268,247호,48954749247,X,O,O
112622,448-2호,47443830000,X,O,O
120028,인컴앤그로스2-4-4호,46700000000,X,X,X
112341,312호,46598300000,X,X,O
200012,506호,44177300000,X,O,O
