column_name,nonblank_count,blank_count,nonblank_pct,distinct_nonblank,top_values
fund_name,1151,0,100.0,783,"[[""이지스일반사모투자신탁435호(태양광)"", 82], [""이지스일반사모투자신탁392호(태양광)"", 47], [""이지스일반사모투자신탁377호"", 31], [""이지스코어에너지인프라일반사모투자신탁제1호"", 8], [""이지스 멀티인컴 일반사모투자신탁 제1호(운용)"", 7]]"
fund_short_name,1151,0,100.0,783,"[[""435호"", 82], [""392호"", 47], [""377호"", 31], [""코어에너지1호"", 8], [""멀티인컴1호"", 7]]"
fund_status,1151,0,100.0,4,"[[""운용"", 759], [""청산"", 329], [""미설정"", 60], [""설정예정"", 3]]"
fund_sector,1090,61,94.7,16,"[[""특별자산"", 225], [""기타"", 214], [""물류"", 114], [""주거"", 94], [""오피스"", 94]]"
fund_location,1116,35,96.96,3,"[[""국내"", 812], [""해외"", 288], [""혼합"", 16]]"
fund_dept_raw,1031,120,89.57,57,"[[""인프라전략2파트"", 169], [""헤지펀드운용파트"", 160], [""대체증권투자파트"", 59], [""글로벌자산관리2파트2"", 51], [""글로벌자산관리1파트2"", 46]]"
fund_dept_resolved,1031,120,89.57,57,"[[""인프라전략2파트"", 169], [""헤지펀드운용파트"", 160], [""대체증권투자파트"", 59], [""글로벌자산관리2파트2"", 51], [""글로벌자산관리1파트2"", 46]]"
fund_manager_raw,1031,120,89.57,126,"[[""백다슬"", 82], [""신미소"", 82], [""이병윤"", 80], [""신영찬"", 47], [""윤주성"", 28]]"
fund_manager_resolved,1031,120,89.57,126,"[[""백다슬"", 82], [""신미소"", 82], [""이병윤"", 80], [""신영찬"", 47], [""윤주성"", 28]]"
fund_setup_date,1113,38,96.7,463,"[[""2021-08-05"", 83], [""2020-11-13"", 47], [""2020-07-24"", 38], [""2022-09-15"", 23], [""2024-08-19"", 16]]"
fund_maturity_date,1050,101,91.23,442,"[[""2043-08-05"", 82], [""2042-11-13"", 47], [""2042-07-24"", 31], [""2024-09-19"", 15], [""2023-07-28"", 14]]"
fund_parent_fund_id,0,1151,0.0,0,[]
fund_benchmark_aum,1027,124,89.23,430,"[[""0"", 183], [""100000000000"", 86], [""60000000000"", 85], [""11000000000"", 11], [""11500000000"", 8]]"
fund_invested_aum,1027,124,89.23,459,"[[""0"", 186], [""68567934814"", 82], [""44306796466"", 47], [""33685485089"", 31], [""11000000000"", 11]]"
fund_equity_won,989,162,85.93,398,"[[""0"", 145], [""100000000000"", 87], [""60000000000"", 85], [""11000000000"", 12], [""5000000000"", 11]]"
