entity_key,entity_type,entity_id,display_title,display_subtitle,source_table,source_id,confidence,status,metadata_json
project:project_notion_3258ced4-3c47-81c6-884e-e6cac4ec9b3c,project,project_notion_3258ced4-3c47-81c6-884e-e6cac4ec9b3c,Bridge Debt Strategies V Green Bridge LP,Project | 설정 후,projects,project_notion_3258ced4-3c47-81c6-884e-e6cac4ec9b3c,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c6-8e94-dc4d1e0afe7c,project,project_notion_3258ced4-3c47-81c6-8e94-dc4d1e0afe7c,Nuveen RE-PCCP U.S. Core-Plus Real Estate Debt Fund,PRJ-192 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81c6-8e94-dc4d1e0afe7c,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c6-aa6d-fd1918557d0c,project,project_notion_3258ced4-3c47-81c6-aa6d-fd1918557d0c,반포 스페셜시츄에이션,PRJ-48 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81c6-aa6d-fd1918557d0c,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c7-9617-e7c725c64bad,project,project_notion_3258ced4-3c47-81c7-9617-e7c725c64bad,타임워크 명동,PRJ-3 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81c7-9617-e7c725c64bad,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c7-a4df-f5c54b3b71c2,project,project_notion_3258ced4-3c47-81c7-a4df-f5c54b3b71c2,오금역 시니어리빙 개발사업,Project | 신규 검토 (입찰/심의 전),projects,project_notion_3258ced4-3c47-81c7-a4df-f5c54b3b71c2,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c7-b402-d670444c0ad5,project,project_notion_3258ced4-3c47-81c7-b402-d670444c0ad5,펀드 부가세 신고,Project | 설정 후,projects,project_notion_3258ced4-3c47-81c7-b402-d670444c0ad5,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c8-853e-ee31f27c32c7,project,project_notion_3258ced4-3c47-81c8-853e-ee31f27c32c7,Umbrella 보험,Project | 설정 후,projects,project_notion_3258ced4-3c47-81c8-853e-ee31f27c32c7,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c8-b04e-c4c90d87c1be,project,project_notion_3258ced4-3c47-81c8-b04e-c4c90d87c1be,부산 초량 MDM타워,Project | 설정 후,projects,project_notion_3258ced4-3c47-81c8-b04e-c4c90d87c1be,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c9-8142-c64d22ee4e6a,project,project_notion_3258ced4-3c47-81c9-8142-c64d22ee4e6a,"StepStone Secondary Opportunities Fund V Offshore, L.P.",PRJ-94 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81c9-8142-c64d22ee4e6a,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c9-84ac-fce7db850452,project,project_notion_3258ced4-3c47-81c9-84ac-fce7db850452,론펀드1호,,projects,project_notion_3258ced4-3c47-81c9-84ac-fce7db850452,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81c9-8bab-c44c2867acc7,project,project_notion_3258ced4-3c47-81c9-8bab-c44c2867acc7,마린시티센트럴 SPC 자산관리위탁,Project | 설정 후,projects,project_notion_3258ced4-3c47-81c9-8bab-c44c2867acc7,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81ca-894d-d5b44d3c5ca4,project,project_notion_3258ced4-3c47-81ca-894d-d5b44d3c5ca4,맹그로브 신촌,PRJ-67 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81ca-894d-d5b44d3c5ca4,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81ca-a7a2-e8439c07cef7,project,project_notion_3258ced4-3c47-81ca-a7a2-e8439c07cef7,Atlanta Data Center PwC,,projects,project_notion_3258ced4-3c47-81ca-a7a2-e8439c07cef7,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81ca-ace9-dffaaaa858a5,project,project_notion_3258ced4-3c47-81ca-ace9-dffaaaa858a5,해운대 L7,,projects,project_notion_3258ced4-3c47-81ca-ace9-dffaaaa858a5,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81cb-90d8-f65996096bdf,project,project_notion_3258ced4-3c47-81cb-90d8-f65996096bdf,"펀드구조화 (구조검토, 회계처리 제안, 매매정산 등) 지원",Project | 설정 후,projects,project_notion_3258ced4-3c47-81cb-90d8-f65996096bdf,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81cb-93e0-ff36ff99e089,project,project_notion_3258ced4-3c47-81cb-93e0-ff36ff99e089,New York Office 85 Tenth Avenue Senior Loan,PRJ-188 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81cb-93e0-ff36ff99e089,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81cb-a4ff-e9df05eb2777,project,project_notion_3258ced4-3c47-81cb-a4ff-e9df05eb2777,이오타서울 816,PRJ-161 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81cb-a4ff-e9df05eb2777,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81cc-ad60-cf4af43ad902,project,project_notion_3258ced4-3c47-81cc-ad60-cf4af43ad902,GLP Japan Develoment Partners III,Project | 설정 후,projects,project_notion_3258ced4-3c47-81cc-ad60-cf4af43ad902,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81cd-b2ae-c5a87f617f2b,project,project_notion_3258ced4-3c47-81cd-b2ae-c5a87f617f2b,Washington D.C. Office Midtown Center,,projects,project_notion_3258ced4-3c47-81cd-b2ae-c5a87f617f2b,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81cd-b5e6-d5dbcfd4bc13,project,project_notion_3258ced4-3c47-81cd-b5e6-d5dbcfd4bc13,구리시 수택동 주거용 오피스텔 개발사업,PRJ-129 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81cd-b5e6-d5dbcfd4bc13,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81ce-ae56-f69511b2f276,project,project_notion_3258ced4-3c47-81ce-ae56-f69511b2f276,일본 소프트뱅크 DC 매입 펀드,Project | 신규 검토 (입찰/심의 전),projects,project_notion_3258ced4-3c47-81ce-ae56-f69511b2f276,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81cf-88a1-d01be50c7fd0,project,project_notion_3258ced4-3c47-81cf-88a1-d01be50c7fd0,안산 글로벌클라우드센터 개발,PRJ-176 | Project | 설정 후,projects,project_notion_3258ced4-3c47-81cf-88a1-d01be50c7fd0,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81cf-8ce2-fe2570b2f1c6,project,project_notion_3258ced4-3c47-81cf-8ce2-fe2570b2f1c6,금천구 물류 복합개발사업,PRJ-64 | Project | 설정 전 (입찰/심의 후),projects,project_notion_3258ced4-3c47-81cf-8ce2-fe2570b2f1c6,1.0,confirmed,{}
project:project_notion_3258ced4-3c47-81cf-98c8-f601bd25e9a1,project,project_notion_3258ced4-3c47-81cf-98c8-f601bd25e9a1,영등포 메리어트 페어필드 호텔,Project | 설정 후,projects,project_notion_3258ced4-3c47-81cf-98c8-f601bd25e9a1,1.0,confirmed,{}
