asset_id,canonical_name,pnu,source_asset_id,source_kind,fill_fields,fill_count,new_site_area,new_scr,new_far,new_main_usage,new_structure,new_floors_up,new_parking,new_height,applied_fields,new_gross_floor_area,new_completion_date
ast_bc6a604e91d6,평촌G스퀘어,4117310400110390000,ast_03b867e56a1e,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,13467.5,4.9,724.56276,리테일,철근콘크리트구조,28,옥내 1379 / 옥외 56,142.82,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_ff8814218ffe,부천카스퀘어담보대출,4119610700103660001,ast_6526b194cc13,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,13329.6,48.4797,297.086,자동차관련시설,철근콘크리트구조,9,옥내 482 / 옥외 39,34.8,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",87314.2,
ast_cc2317cd4c2a,인천석남물류센터,2826011000102240008,ast_0920c9043185,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,54193.0,5.09,359.96036,물류,프리케스트콘크리트구조,8,옥내 1093 / 옥외 30,79.87,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_f5db0e416467,인천석남물류센터,2826011000102240008,ast_0920c9043185,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,54193.0,5.09,359.96036,물류,프리케스트콘크리트구조,8,옥내 1093 / 옥외 30,79.87,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_6d6422bca00c,두동 LG전자 통합물류센터,4812916100118750000,ast_9bedafe14895,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,47028.9,67.87,116.03,물류센터,철근콘크리트구조,4,옥내 0 / 옥외 185,25.6,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_d92e2b93a0fd,대전 둔산파이낸스빌딩,3017011200114130000,ast_e547d4e384c5,same_pnu_ledger,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height",9,1988.3,78.2901,1215.0925,오피스,철골철근콘크리트구조,17,옥내 278 / 옥외 0,64.8,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",36207500.0,
ast_e658d751f1bd,판교 테크원타워,4113511000105340000,ast_d6b3682a1147,same_pnu_ledger,"scr,far,main_usage,structure,floors_up,parking,height",7,,79.98,923.31,오피스,철골철근콘크리트합성구조,15,1490,66.85,"scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_2fd5f7d4daa1,경산 쿠팡물류센터,4729025330109030000,ast_616c3d79da75,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,17813.6,69.88,298.23,물류센터,철근콘크리트구조,12,옥내 419 / 옥외 18,69.0,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_35c0d3505765,동산물류센터,4150033025109770005,ast_5afa53495f87,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,54990.0,4.0,59.88,물류,프리케스트콘크리트구조,4,옥내 0 / 옥외 150,35.46,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_e99c7779c9b8,두산빌딩,1168010800101050007,ast_31a8b3ea9c30,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,3757.0,38.01,698.24,오피스,철골철근콘크리트구조,20,옥내 154 / 옥외 52,0.0,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_024953888c95,판교 테크원타워,4113511000105340000,ast_d6b3682a1147,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,13352.1,79.98,923.31,오피스,철골철근콘크리트합성구조,15,1490,66.85,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
ast_e43315f52192,업스퀘어,3114010600115690001,ast_a422589fe744,same_pnu_ledger,"site_area,scr,far,main_usage,structure,floors_up,parking,height",8,7114.8,6.1,457.1,리테일,철골철근콘크리트구조,10,옥내 495 / 옥외 0,58.0,"site_area,scr,far,main_usage,structure,floors_up,parking,height,building_ledger_source,last_api_enriched_at,updated_at",,
