asset_id,asset_code,canonical_name,proposed_physical_asset_name,proposed_non_physical_label,linked_fund_short_names,asset_type,asset_kind,review_status,has_address,has_pnu,cleanup_action,cleanup_reason
ast_9b78a5e73c6b,A112072001,Nuveen UK Enhanced Debt Fund,Nuveen UK Enhanced Debt Fund,,,오피스복합,physical_asset,verified,Y,N,review_financial_name_with_physical_evidence,"physical evidence exists, but name contains loan/security terms"
ast_07a74d2ee7e4,A112073001,Dallas KPMG Plaza Senior Loan,Dallas KPMG Plaza,,,오피스,physical_asset,verified,Y,N,strip_instrument_terms,"physical evidence exists, but name contains loan/security terms"
ast_5a5178267eeb,A112074001,AXA Real Estate Development Venture IV,AXA Real Estate Development Venture IV,,,오피스복합,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_e123d535adec,A120057001,세원이앤씨(주)의 담보부 신주인수권부 사채,세원이앤씨(주)의 담보부 신주인수권부 사채,,,,physical_asset,verified,N,N,review_unknown_name,insufficient evidence for automatic physical name decision
ast_00d6ab2ffdec,A120070001,이지스10호(2종)의 수익증권,이지스10호(2종)의 수익증권,,,오피스,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_2fd6370e9280,A120074001,용산라이프PFV(보통주),용산라이프PFV(보통주),,,오피스,physical_asset,verified,Y,N,keep_physical_name,real estate type or physical evidence exists
ast_95374ce1a930,A120076001,이지스경산물류제1호일반사모부동산투자회사의 1종 종류주식,이지스경산물류제1호일반사모부동산투자회사의 1종 종류주식,,,물류센터,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_a732f4857c2e,A120081001,이지스경산로지스1호(보통주),이지스경산로지스1호(보통주),,,물류센터,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_10667fe678d4,A120084001,이지스제572호부동산일반사모투자회사(1종),이지스제572호부동산일반사모투자회사(1종),,,데이터센터,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
ast_dc99a27ccb95,A120091001,"재생에너지 플랫폼회사(""HoldCo"")에 대한 지분 및 주주대여금","재생에너지 플랫폼회사(""HoldCo"")에 대한 지분 및 주주대여금",,,,physical_asset,verified,N,N,review_unknown_name,insufficient evidence for automatic physical name decision
ast_aa235517fdc1,A120099001,용산라이프PFV 대여금,용산라이프PFV 대여금,,,오피스,physical_asset,verified,Y,N,keep_physical_name,real estate type or physical evidence exists
ast_c28b363f2b5a,A112699001,페어필드 메리어트 서울,페어필드 메리어트 서울,,,호텔,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_7cf20a80bc30,A112064001,쌈지길,쌈지길,,,리테일,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_20f01c104a7a,A112071001,종로타워,종로타워,,,오피스,physical_asset,verified,Y,Y,keep_physical_name,real estate type or physical evidence exists
ast_7e206e73f6fa,A112694001,이지스제463호부동산일반사모투자회사,이지스제463호부동산일반사모투자회사,,,오피스,physical_asset,verified,Y,N,keep_physical_name,real estate type or physical evidence exists
ast_3b3b6275cb37,A112700001,여의도 신한금융투자타워,여의도 신한금융투자타워,,,오피스,physical_asset,verified,Y,N,keep_physical_name,real estate type or physical evidence exists
ast_6620a797dae4,A112704001,인천 가좌동 소재 개발자산 선매입,인천 가좌동 소재 개발자산 선매입,,475호,데이터센터,physical_asset,verified,N,N,keep_physical_name,real estate type or physical evidence exists
