domain,severity,issue_type,asset_id,asset_code,field,source_column,db_column,source_value,db_value,difference,db_api_enrichment_status,db_building_ledger_source,recommendation,provenance_bucket
asset_master,review,asset_field_change_candidate,ast_d7cf5a8a230f,A112075001,parking,주차대수,parking,,옥내 42 / 옥외 2,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_72454765bf79,A112077001,parking,주차대수,parking,322,,,not_checked,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_d4a56bde92c8,A112078001,site_area,토지면적(㎡),site_area,,1828,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_d4a56bde92c8,A112078001,parking,주차대수,parking,,옥내 96 / 옥외 0,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_a422589fe744,A112080001,site_area,토지면적(㎡),site_area,,7115,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_a422589fe744,A112080001,parking,주차대수,parking,,옥내 495 / 옥외 0,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_223bae23bf93,A112081002,gross_floor_area,연면적(m²),gross_floor_area,,70155,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_223bae23bf93,A112081002,site_area,토지면적(㎡),site_area,,5746,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_223bae23bf93,A112081002,parking,주차대수,parking,,옥내 600 / 옥외 4,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_c9b5f50bc992,A112081003,gross_floor_area,연면적(m²),gross_floor_area,,60148,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_c9b5f50bc992,A112081003,site_area,토지면적(㎡),site_area,,5712,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_c9b5f50bc992,A112081003,parking,주차대수,parking,,옥내 501 / 옥외 24,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_03b867e56a1e,A112085001,site_area,토지면적(㎡),site_area,,13468,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_03b867e56a1e,A112085001,parking,주차대수,parking,,옥내 1379 / 옥외 56,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_11888bd81598,A112086001,site_area,토지면적(㎡),site_area,,16529,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_11888bd81598,A112086001,parking,주차대수,parking,,옥내 1272 / 옥외 429,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_33e54322817d,A112095001,parking,주차대수,parking,0,,,not_checked,,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_61465a8dd9a1,A112096001,site_area,토지면적(㎡),site_area,,5346,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_61465a8dd9a1,A112096001,parking,주차대수,parking,,옥내 587 / 옥외 0,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_288840e4c692,A112099001,gross_floor_area,연면적(m²),gross_floor_area,,49689,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_288840e4c692,A112099001,site_area,토지면적(㎡),site_area,,3638,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_288840e4c692,A112099001,parking,주차대수,parking,,옥내 627 / 옥외 0,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_a81bf18a93d4,A112100001,site_area,토지면적(㎡),site_area,,91000,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_a81bf18a93d4,A112100001,parking,주차대수,parking,,옥내 4218 / 옥외 0,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_2b8d6d15574a,A112104001,site_area,토지면적(㎡),site_area,,2893,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_2b8d6d15574a,A112104001,parking,주차대수,parking,,옥내 334 / 옥외 3,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_afb26eedbbe3,A112109001,site_area,토지면적(㎡),site_area,,0,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_afb26eedbbe3,A112109001,parking,주차대수,parking,,옥내 0 / 옥외 99,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_af5f71776ae0,A112110001,site_area,토지면적(㎡),site_area,,915,,found,BldRgstHubService.getBrTitleInfo,Physical fields may be API-enriched. Review provenance before overwriting.,api_sensitive_do_not_overwrite_without_review
asset_master,review,asset_field_change_candidate,ast_af5f71776ae0,A112110001,parking,주차대수,parking,,옥내 61 / 옥외 0,,found,BldRgstHubService.getBrTitleInfo,Review. Some address/physical fields may intentionally differ after geocode/API cleanup.,api_sensitive_do_not_overwrite_without_review
