relationship_status,asset_name,fund_name,project_name,asset_address,fund_asset_name,asset_kind,asset_type,fund_status,project_status,missing_parts,asset_id,fund_id,project_id,fund_short_name,fund_sector,project_type,fund_relation_type,project_relation_type,fund_exposure_role,fund_directness,fund_relation_confidence,project_relation_confidence,fund_lookup_status,project_lookup_status,project_lookup_source,fund_relation_source_table,fund_relation_source_id,project_relation_source_table,project_relation_source_id,asset_review_status,asset_source_confidence
missing_one_or_more_names,업스퀘어,,,울산광역시 남구 삼산동 1569-1,,physical_asset,오피스복합,,,fund_name; project_name,ast_09e5db3eee02,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,와이에이치파워2 주식,이지스코어에너지인프라일반사모투자신탁제1호,,,"한림그린에너지 주식 및 대여금, 코어그린에너지 주식 및 대여금, 이지스유에이치 주식 및 대여금, 유에이치파워 대여금, 와이에이치파워1 주식, 와이에이치파워2 주식, 와이에이치파워3 주식, 와이에이치파워4 주식",physical_asset,,운용,,project_name,ast_0aa438f94f1a,120045,,코어에너지1호,특별자산,,underlying_asset,,direct_owner,direct,0.94,,resolved,no_project_link,no_project_link,fund_assets,58632,,,verified,0.94
missing_one_or_more_names,"StepStone Secondary Opportunities Fund V Offshore, L.P.",,,,,physical_asset,,,,fund_name; project_name,ast_0abb69999d40,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,"메자닌, 공모주, 이벤트 드리븐",,,,,physical_asset,,,,fund_name; project_name,ast_0ae67887921d,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),,충청북도 충주시 대소원면 완오리 1165,"다산1, 동서발전, 진이엔지, 현대산업쏠라5호, 케이앤스틸테크놀로지, 리에너지, 지우태양광, 에스지, 케이앤씨벨에포크, 케이에이치테크단북1호, 미션, 윈즈에너지, 이큐에너지, 소망, 청수, 봉산햇빛, 행암에너지일호, 도원에너지, 솔빛에너지, 에스와이솔라, 에이치엠솔라1, 이에스에이치12, 지티씨솔라13호, 강구16호, 외삼1호, 외삼2호, 솔라트리1호, 김송하, 에스이피브, 케이앤씨헤르메스, 모두에너지, 솔라팩토리10호, 씨에스에너텍, 알이씨에너지, 알이엔네트웍스, 어량리, 비케이솔라, 와이알에너지, 유현그린, 케이앤씨그린북, 디앤피상주, 적화솔라, 솔라시너지햇빛1호, 이인메가태양광, 솔라팩토리22호, 솔라팩토리19호",physical_asset,,운용,,project_name,ast_0bbbe8c5910d,112584,,435호,특별자산,,underlying_asset,,direct_owner,direct,0.98,,resolved,no_project_link,no_project_link,fund_assets,58456,,,auto_created,0.98
missing_one_or_more_names,이지스333호(홍대 코리빙 복합시설),,,서울시 마포구 서교동 460-25 일원,,physical_asset,,,,fund_name; project_name,ast_0c50fdc60ef8,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,제주 연동 오피스텔,,,제주도 제주시 연동 261-23,,physical_asset,주거,,,fund_name; project_name,ast_0c68bbfd7099,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,홈플러스 대전문화점 (투자),이지스코어리테일부동산투자신탁302호(운용),,대전광역시 중구 문화동 1-17,"홈플러스 인천인하점, 홈플러스 대전문화점, 홈플러스 전주완산점",physical_asset,,청산,,project_name,ast_0d034e04e91f,112344,,302호,리테일,,underlying_asset,,direct_owner,direct,0.98,,resolved,no_project_link,no_project_link,fund_assets,58181,,,auto_created,0.98
missing_one_or_more_names,분당야탑물류센터,,,,,physical_asset,물류센터,,,fund_name; project_name,ast_0d20df513bd5,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,
missing_one_or_more_names,아이에이제십사차유동화전문 유한회사,이지스NPL일반사모부동산투자신탁제3호,,,"아이에이제십삼차유동화전문 유한회사, 아이에이제십사차유동화전문 유한회사, 주식회사 아이에이에이치에프합정, 아이에이와이디유동화전문 유한회사, 부실채권을 기초자산으로 하는 SPC의 사채",physical_asset,특별자산,운용,,project_name,ast_0d67a2c2d304,112602,,NPL3호,NPL,,underlying_asset,,direct_owner,direct,0.94,,resolved,no_project_link,no_project_link,fund_assets,58474,,,verified,0.94
missing_one_or_more_names,성수동 오피스 개발사업 선순위 브릿지론,이지스부동산론일반사모부동산투자신탁제1호,,서울특별시 성동구 성수동2가 279,"웨스트게이트타워 선순위 담보대출, 당산 지식산업센터 개발사업 PF대출, 여의도 유수홀딩스부지 오피스텔 개발사업 PF대출, 카이트타워 선순위 담보대출, 성수동 오피스 개발사업 선순위 브릿지론",physical_asset,,운용,,project_name,ast_0d7b28ca87e1,112666,,부동산론 1호,대출채권,,underlying_asset,,direct_owner,direct,0.94,,resolved,no_project_link,no_project_link,fund_assets,58524,,,verified,0.94
