asset_id,canonical_name,review_status,source_confidence,match_reason,source_row_count,fund_ids,address_text,pnu,asset_code,latitude,longitude,site_area,gross_floor_area,main_usage,structure
ast_879736673d32,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,강원특별자치도 삼척시 도계읍 전두리 166,,A112466031,37.2383750139701,129.03008112488,,,특별자산,
ast_f111ae69e480,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,강원특별자치도 삼척시 도계읍 전두리 172,,A112466032,37.2389825135004,129.028550036923,,,특별자산,
ast_df3703ad7418,이지스일반사모투자신탁377호,auto_created,0.94,same_asset_code,1,112466,경상북도 안동시 임동면 중평리 산 13-11,,A112466033,36.5757397483918,128.926076711892,,,특별자산,
ast_86f45a70b070,이지스기회추구전문투자형사모부동산모투자신탁제2-2호,auto_created,0.94,same_asset_code,1,112470,논현동 165,,A112470001,37.507132527,127.023676426,,,오피스,
ast_eb5a157872a8,이지스일반사모부동산투자신탁384호,auto_created,0.94,same_asset_code,1,112474,서울특별시 종로구 효제동 315-1,,A112474001,37.5719558324457,127.001778808164,,,오피스,
ast_86bf4722d494,US Courtyard by Marriott Portfolio Rescue Capital Loan,auto_created,0.94,same_asset_code,1,112478,아래 자산별 상세 내역,,A112478001,,,,,호텔,
ast_d7155e535335,GLP Europe Income Partners II,auto_created,0.94,same_asset_code,2,"112482, 112494",,,A112482001,,,,,오피스복합,
ast_5c591e0531aa,Delaware Logistics Amazon FC,auto_created,0.94,same_asset_code,3,"112483, 112484, 112485","801 Boxwood Rd, Wilmington, Delaware 19804",,A112483001,,,,356186.0,물류센터,
ast_f4fc6d89a82b,CBRE U.S. Credit Partners LP,auto_created,0.94,same_asset_code,1,112486,,,A112486001,,,,,오피스복합,
ast_99b63c12cc89,국내 리츠,auto_created,0.94,same_asset_code,2,"112495, 300038",,,A112495001,,,,,기타,
ast_4b619049d6d7,해외 리츠,auto_created,0.94,same_asset_code,2,"112495, 300038",,,A112495002,,,,,기타,
ast_373f87c6b8d9,Virginia Amazon Warehouse,auto_created,0.94,same_asset_code,2,"112496, 112497","25 Strategy Drive, Fredericksburg, Stafford, VA",,A112496001,,,,,물류,
ast_c4b09711952f,Lakeville Amazon Warehouse,auto_created,0.94,same_asset_code,2,"112496, 112497","25 Strategy Drive, Fredericksburg, Stafford, VA",,A112496004,,,,,물류센터,
ast_b7500e646006,Kansas city Amazon Warehouse,auto_created,0.94,same_asset_code,2,"112496, 112497","25 Strategy Drive, Fredericksburg, Stafford, VA",,A112496005,,,,,물류센터,
ast_859c72f41f43,Clarion Lion Properties Fund,auto_created,0.94,same_asset_code,1,112501,,,A112501001,,,,,오피스복합,
ast_f7a36f9524d4,뉴멕시코주 아마존 물류센터,auto_created,0.94,same_asset_code,2,"112502, 112503","12945 Ladera Dr NW, Albuquerque, NM 87120, USA",,A112502001,,,,,물류,
ast_2973f4cd4890,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,경상북도 성주군 초천면 고산리 산61,,A112504001,,,,,특별자산,
ast_85753c049318,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,강원도 영월군 상동읍 수래리 194-1,,A112504002,,,,,특별자산,
ast_92dea7abe14c,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,강원특별자치도 횡성군 횡성읍 송전리 34,,A112504003,37.5338989777653,128.025712214516,,,특별자산,
ast_1aa61ea72a74,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,경상남도 합천군 대병면 성리 산 117,,A112504004,35.5245419484486,128.065825689792,,,특별자산,
ast_b934e85074e0,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,경상북도 청도군 풍각면 월봉리 산 10,,A112504006,35.6179326411082,128.597267554672,,,특별자산,
ast_feb123f425d2,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,충청남도 보령시 천북면 장은리 산157-1,,A112504007,,,,,특별자산,
ast_ca7e42523746,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,경북 영천시 북안면 효리 산82-1,,A112504008,,,,,특별자산,
ast_562a1580ea14,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,경상남도 의령군 화정면 상일리 산 95,,A112504009,35.265279809812,128.223195464066,,,특별자산,
ast_d7d1561008f1,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,경상남도 의령군 화정면 상일리 산 95,,A112504010,35.265279809812,128.223195464066,,,특별자산,
ast_c2fde5e671a6,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,경상남도 의령군 화정면 상일리 산 95,,A112504011,35.265279809812,128.223195464066,,,특별자산,
ast_f39c0da608b1,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,충청남도 부여군 임천면 점리 산 9-1,,A112504012,36.2177411790282,126.900720890488,,,특별자산,
ast_419a8602469e,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,경상남도 의령군 대의면 천곡리 산 50,,A112504013,35.3442385155307,128.13145723869,,,특별자산,
ast_eadb0a414753,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,경상북도 군위군 소보면 도산리 산 89-5,,A112504014,,,,,특별자산,
ast_2382027b08d5,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,강원특별자치도 양양군 현남면 정자리 1,,A112504015,37.9688068158425,128.740250467831,,,특별자산,
ast_936d6d5e77d1,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,전라북도 남원시 보절면 사촌리 산18-3,,A112504016,,,,,특별자산,
ast_cc5aa1a95e56,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,전북 남원시 보절면사촌리 산18-4,,A112504017,,,,,특별자산,
ast_d0ca1e8f80e8,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,강원특별자치도 삼척시 원덕읍 임원리 산 255,,A112504018,37.2515487823118,129.332147940911,,,특별자산,
ast_9b387d397c17,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,강원특별자치도 삼척시 원덕읍 임원리 산 255,,A112504019,37.2515487823118,129.332147940911,,,특별자산,
ast_211db1826682,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,강원특별자치도 평창군 평창읍 고길리 86-1,,A112504020,37.41427388618,128.452772420877,,,특별자산,
ast_1f7b90e8b01b,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,전라남도 고흥군 도화면 봉룡리 산221-1,,A112504021,,,,,특별자산,
ast_d16ce1cedc18,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,전라남도 고흥군 도화면 봉룡리 산221-1,,A112504022,,,,,특별자산,
ast_d2b681f14622,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,전라남도 고흥군 도화면 봉룡리 산221-1,,A112504023,,,,,특별자산,
ast_dd450e43e303,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,경상북도 의성군 옥산면 입암리 28,,A112504024,36.3958113835598,128.840653974451,,,특별자산,
ast_dd6d598a7920,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,경상남도 남해군 창선면 서대리 산 112,,A112504025,34.8754712348023,127.991272641583,,,특별자산,
ast_3165eca06342,이지스일반사모투자신탁392호(태양광),auto_created,0.94,same_asset_code,1,112504,강원특별자치도 삼척시 하장면 장전리 138,,A112504026,37.3555640661522,128.917192862034,,,특별자산,
ast_146d3e80165b,"신동해빌딩, NICE2사옥",auto_created,0.94,same_asset_code,3,"112514, 112515, 112516",서울특별시 영등포구 여의도동 15-3,,A112514001,37.5290232614158,126.919341371504,,19927.7,주거,
