relationship_status,asset_name,fund_name,project_name,asset_address,fund_asset_name,asset_kind,asset_type,fund_status,project_status,missing_parts,asset_id,fund_id,project_id,fund_short_name,fund_sector,project_type,fund_relation_type,project_relation_type,fund_exposure_role,fund_directness,fund_relation_confidence,project_relation_confidence,fund_lookup_status,project_lookup_status,project_lookup_source,fund_relation_source_table,fund_relation_source_id,project_relation_source_table,project_relation_source_id,asset_review_status,asset_source_confidence,current_asset_name,proposed_asset_name,asset_name_resolution_status,asset_name_action,is_fund_or_vehicle_fallback_asset,direct_fund_asset_candidates,same_fund_underlying_candidates,fund_asset_field_candidates,project_name_candidates,alias_name_candidates,drawer_behavior_hint
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스청년주택제1호위탁관리부동산투자회사,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,R00012,112289,R청년주택1호,주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58765,projects,112289,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스청년주택제1호위탁관리부동산투자회사,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,R00012,120011,R청년주택1호,주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58765,projects,120011,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스청년주택제1호위탁관리부동산투자회사,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,R00012,R00012,R청년주택1호,주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58765,projects,R00012,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모투자신탁263호,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112287,project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba,263호(운용),주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,projects,fund_assets,58133,projects,project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모투자신탁263호,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112287,112287,263호(운용),주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58133,projects,112287,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모투자신탁263호,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112287,112288,263호(운용),주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58133,projects,112288,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모투자신탁263호,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112287,112289,263호(운용),주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58133,projects,112289,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모투자신탁263호,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112287,120011,263호(운용),주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58133,projects,120011,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모투자신탁263호,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112287,R00012,263호(운용),주거,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58133,projects,R00012,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 1종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112288,project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba,263호(1종),주거,,inferred_underlying_asset,related_project,direct_owner,inferred_direct,0.95,0.95,resolved,resolved,projects,funds,112288,projects,project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 1종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112288,112287,263호(1종),주거,,inferred_underlying_asset,related_project,direct_owner,inferred_direct,0.95,0.95,resolved,resolved,asset_project_links.metadata,funds,112288,projects,112287,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 1종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112288,112288,263호(1종),주거,,inferred_underlying_asset,related_project,direct_owner,inferred_direct,0.95,0.95,resolved,resolved,asset_project_links.metadata,funds,112288,projects,112288,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 1종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112288,112289,263호(1종),주거,,inferred_underlying_asset,related_project,direct_owner,inferred_direct,0.95,0.95,resolved,resolved,asset_project_links.metadata,funds,112288,projects,112289,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 1종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112288,120011,263호(1종),주거,,inferred_underlying_asset,related_project,direct_owner,inferred_direct,0.95,0.95,resolved,resolved,asset_project_links.metadata,funds,112288,projects,120011,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 1종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112288,R00012,263호(1종),주거,,inferred_underlying_asset,related_project,direct_owner,inferred_direct,0.95,0.95,resolved,resolved,asset_project_links.metadata,funds,112288,projects,R00012,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 2종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112289,project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba,263호(2종),주거,,inferred_underlying_asset,related_project,direct_owner,inferred_direct,0.95,0.95,resolved,resolved,projects,funds,112289,projects,project_notion_3258ced4-3c47-81af-bbdf-cc83ee3a30ba,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 2종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112289,112287,263호(2종),주거,,inferred_underlying_asset,related_project,direct_owner,inferred_direct,0.95,0.95,resolved,resolved,asset_project_links.metadata,funds,112289,projects,112287,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 2종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112289,112288,263호(2종),주거,,inferred_underlying_asset,related_project,direct_owner,inferred_direct,0.95,0.95,resolved,resolved,asset_project_links.metadata,funds,112289,projects,112288,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 2종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112289,112289,263호(2종),주거,,inferred_underlying_asset,related_project,direct_owner,inferred_direct,0.95,0.95,resolved,resolved,asset_project_links.metadata,funds,112289,projects,112289,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 2종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112289,120011,263호(2종),주거,,inferred_underlying_asset,related_project,direct_owner,inferred_direct,0.95,0.95,resolved,resolved,asset_project_links.metadata,funds,112289,projects,120011,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,강동 성내 역세권 청년주택,이지스전문투자형사모부동산투자신탁263호 2종,강동 성내 역세권 청년주택,성내동 190-11,강동 성내 역세권 청년주택,physical_asset,,운용,,,ast_021767a7f029,112289,R00012,263호(2종),주거,,inferred_underlying_asset,related_project,direct_owner,inferred_direct,0.95,0.95,resolved,resolved,asset_project_links.metadata,funds,112289,projects,R00012,auto_created,0.98,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,current_asset_name_ok,keep,false,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,강동 성내 역세권 청년주택,entity_click_opens_asset_fund_project_picker
missing_one_or_more_names,여의도 파이낸스타워,,,서울특별시 영등포구 국제금융로 2길 32,,physical_asset,,,,fund_name; project_name,ast_022d4816897f,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,,여의도 파이낸스타워,여의도 파이낸스타워,current_asset_name_ok,keep,false,,,,,,entity_click_opens_detail
missing_one_or_more_names,성수동 복합시설 개발사업,,,"서울특별시 성동구 성수동2가 314-10, 314-11, 314-27번지",,physical_asset,오피스,,,fund_name; project_name,ast_023cb333482d,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,,성수동 복합시설 개발사업,성수동 복합시설 개발사업,current_asset_name_ok,keep,false,,,,,,entity_click_opens_detail
missing_one_or_more_names,판교 테크원타워,,,경기도 성남시 분당구 백현동 534,,physical_asset,오피스,,,fund_name; project_name,ast_024953888c95,,,,,,,,,,,,no_fund_link,no_project_link,no_project_link,,,,,verified,,판교 테크원타워,판교 테크원타워,current_asset_name_ok,keep,false,,,,,,entity_click_opens_detail
asset_fund_project_connected,덕평CJ물류센터 (투자),이지스전문투자형사모부동산투자신탁286호(운용),덕평CJ물류센터,경기도 이천시 호법면 매곡리 118-2,덕평CJ물류센터,physical_asset,,청산,,,ast_0264aa763175,112328,112328,286호,물류,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58168,projects,112328,auto_created,0.98,덕평CJ물류센터 (투자),덕평CJ물류센터 (투자),current_asset_name_ok,keep,false,덕평CJ물류센터,덕평CJ물류센터,덕평CJ물류센터,덕평CJ물류센터,덕평CJ물류센터,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,덕평CJ물류센터 (투자),이지스전문투자형사모부동산투자신탁286호(운용),덕평CJ물류센터,경기도 이천시 호법면 매곡리 118-2,덕평CJ물류센터,physical_asset,,청산,,,ast_0264aa763175,112328,112329,286호,물류,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58168,projects,112329,auto_created,0.98,덕평CJ물류센터 (투자),덕평CJ물류센터 (투자),current_asset_name_ok,keep,false,덕평CJ물류센터,덕평CJ물류센터,덕평CJ물류센터,덕평CJ물류센터,덕평CJ물류센터,entity_click_opens_asset_fund_project_picker
asset_fund_project_connected,덕평CJ물류센터 (투자),이지스전문투자형사모부동산투자신탁286호(운용),덕평CJ물류센터,경기도 이천시 호법면 매곡리 118-2,덕평CJ물류센터,physical_asset,,청산,,,ast_0264aa763175,112328,112330,286호,물류,,underlying_asset,related_project,direct_owner,direct,0.98,0.95,resolved,resolved,asset_project_links.metadata,fund_assets,58168,projects,112330,auto_created,0.98,덕평CJ물류센터 (투자),덕평CJ물류센터 (투자),current_asset_name_ok,keep,false,덕평CJ물류센터,덕평CJ물류센터,덕평CJ물류센터,덕평CJ물류센터,덕평CJ물류센터,entity_click_opens_asset_fund_project_picker
