asset_id,canonical_name,address_text,fund_count,project_count,linked_fund_ids,linked_project_ids
ast_db8623f6f559,에스엔에스랩,-,1,2,120017,"120017, project_notion_3258ced4-3c47-8186-b4df-eb1233f81313"
ast_db8fd17c8890,홈플러스전주효자점,전북특별자치도 전주시 완산구 효자동1가 431-5,3,3,"112132, 112133, 112134","112132, 112133, 112134"
ast_dd22d6a3cb4f,티맥스수내타워,경기도 성남시 분당구 수내동 6-4,2,5,"112517, 112518","112517, 112518, project_notion_3258ced4-3c47-8110-979d-cb1bf2ae6f8e, project_notion_3258ced4-3c47-8147-ba74-db2eb51dc58a, project_notion_3268ced4-3c47-81fb-8cc3-d43861ad2f4b"
ast_dd63895bac49,Starwood European Real Estate Debt Finance II (SEREDF II,-,1,3,200011,"200011, project_notion_3258ced4-3c47-8140-9b02-e2e7471cf4e1, project_notion_3268ced4-3c47-8113-9cf3-c1b62fe76421"
ast_dd6e846e65f4,신라스테이제주,제주특별자치도 제주시 연동 274-16,5,5,"112034, 112404, 112405, 112406, 120075","112034, 112404, 112405, 112406, project_notion_3258ced4-3c47-811f-b02f-dd412dfef9ea"
ast_deef81e70ae6,포천정교리물류센터,경기도 포천시 가산면 정교리 272-1번지 외 12필지,1,3,190013,"190013, project_notion_3258ced4-3c47-8115-9bac-f9515d912ba0, project_notion_3268ced4-3c47-81bb-9256-c5e640f30f92"
ast_dfa1348ddd15,효제동 오피스텔 개발사업,"서울특별시 종로구 효제동 315-1, 315-6",1,3,P00009,"P00009, project_notion_3258ced4-3c47-8144-a246-e143a4860886, project_notion_3268ced4-3c47-81f7-85d5-dfe72814334d"
ast_e0a9abed71bf,롯데수원역쇼핑타운토지,경기도 수원시 권선구 서둔동 296-77 외 2필지,3,5,"112037, 120106, 120107","112037, 120106, 120107, project_notion_3258ced4-3c47-8180-8b84-fcbb5e944aca, project_notion_3268ced4-3c47-8142-adea-c49f3e4eba09"
ast_e0d705ed16ed,Clarion Gables Multifamily Fund,-,1,2,112658,"112658, project_notion_3258ced4-3c47-81fd-a8cd-dd762ee701ec"
ast_e2910b24e5e7,원효로3가 공공지원민간임대주택,서울특별시 용산구 원효로3가 1-159번지 외 3필지,3,1,"112456, 112457, 112458",112456
ast_e2fd03212beb,남악신도시 복합쇼핑몰 (투자),전라남도 무안군 삼향읍 남악리 2622,1,1,112047,112047
ast_e3779cfe5ab2,켄싱턴 제주호텔 부동산담보신탁 1종 수익권,제주특별자치도 서귀포시 색달동 2785,3,1,"112226, 112227, 112228",112226
ast_e3a8955cec50,이지스일반사모부동산투자신탁제468-2호(2종)의 수익증권,-,3,1,"112675, 112676, 112682",112682
ast_e45b98ccfc65,"세운 6-3-1,2구역 도시환경정비사업",서울특별시 중구 을지로4가 261-1 일원,1,1,112126,112126
ast_e47c4c7b3344,오산세교 주거시설,"경기도 오산시
오산세교2지구
M1BL",1,1,112519,112519
ast_e505ab13fd73,타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자),"2 MacArthur Place, Santa Ana, CA 92707",4,4,"112418, 112419, 112420, 112705","112418, 112419, 112420, 112705"
ast_e5211e566e98,New York 564 6th Avenue Senior Loan,"564 5th Avenue New York, NY 10036",1,2,112308,"112308, project_notion_3258ced4-3c47-8167-bdc2-fc41bd66f9b4"
ast_e53c191931b7,하이파킹 대여금,-,1,1,120053,120053
ast_e547d4e384c5,대전 둔산파이낸스빌딩,대전광역시 서구 둔산동 1413,3,5,"112778, 112779, 112780","112778, 112779, 112780, project_notion_3258ced4-3c47-8191-b315-e81df37e9631, project_notion_3268ced4-3c47-8162-bbc1-c31d85c20612"
ast_e5daaa392be6,Washington D.C. Woodies Building Senior Loan,"1001 & 1025 F Street NW, Washington, D.C. 20004",3,5,"112092, 112102, 112103","112092, 112102, 112103, project_notion_3258ced4-3c47-814a-b6c2-fcbca891eddd, project_notion_3268ced4-3c47-81dd-8f0a-fd0f8836744c"
ast_e60d36b43a64,해운대 센텀 한진CY부지 Bridge Loan 선순위 담보대출 투자,부산광역시 해운대구 재송동 856-1,1,1,112449,112449
ast_e6eadbaa08bd,이지스일반사모부동산투자신탁232호(운용),탄부면 상장리 643-3,4,4,"112279, 112280, 112281, 112282","112279, 112280, 112281, 112282"
ast_e825b5c5a33f,KKR Real Estate Partners Europe II,-,1,2,112558,"112558, project_notion_3258ced4-3c47-81ab-9af3-dcbd1487452b"
ast_e82ed4b638d4,New York 787 Seventh Avenue Mezzanine Loan,"787 Seventh Avenue (51st & 52nd Street), NY",2,4,"112068, 112069","112068, 112069, project_notion_3258ced4-3c47-8193-99e0-f53579aa8e9f, project_notion_3268ced4-3c47-8185-aa6b-f930c7c1d8b3"
ast_e8ad3281d39e,Enlink project patton,-,1,1,112618,112618
ast_ea83005ce057,이지스제415호일반사모부동산투자신탁,시흥동 322,1,3,112559,"112559, project_notion_3258ced4-3c47-811a-b4c3-f2ab4747275c, project_notion_3268ced4-3c47-81a2-93c9-fa8262b5cbf6"
ast_eb058774b3aa,판교 알파돔시티 비즈니스호텔 (투자),경기도 성남시 분당구 백현동 539,1,1,112148,112148
ast_eb5a157872a8,효제아트PFV(주식 및 주주대여),"서울시 종로구 효제동 315-1, 6",1,1,112474,112474
ast_eb6dfd75233b,KTX울산역 오피스텔 개발사업,울산광역시 울주군 삼남읍 교동리 1682-1번지,1,3,P00034,"P00034, project_notion_3258ced4-3c47-81a1-ae94-e9ff46be5503, project_notion_3268ced4-3c47-81b4-8e89-f7ace4ba83c7"
ast_ebd723e072c4,Vienna Office & Retail Wien Mitte,"A-1030 Vienna, Austria",1,3,112058,"112058, project_notion_3258ced4-3c47-81a9-abe1-ef1efcd1299a, project_notion_3268ced4-3c47-81fc-b963-dbd5d76cd7d5"
ast_ec07f6a9ae3d,New York 555 10 Avenue,"555 10th Avenue, NY",1,2,112374,"112374, project_notion_3258ced4-3c47-818c-985f-c8836c802016"
ast_ec6dcc378dcf,(주)페트로코너지 발행 지분증권 및 투자대상회사(이지스페트로코너지(주))에 대한 대출채권,"경남 양산시 상북면 효충2길13(페트로콕증기생산시설), 경기 시흥시 서울대학로 59-5 배곧가압장(연료전지",1,1,112234,112234
ast_ed6a011723e2,남동테크노타워 지식산업센터 개발사업 PF,인천광역시 남동구 고잔동 648-1,1,1,112184,112184
ast_edd6f6c3e3e5,더피나클강남 (투자),서울특별시 강남구 논현동 119,5,5,"112005, 112060, 112091, 200036, 200037","112005, 200036, 200037, project_notion_3258ced4-3c47-8133-9e4f-e15caf3f7fd9, project_notion_3268ced4-3c47-815d-bc7b-f9af47473801"
ast_ee5b4d0511ec,구리시 수택동 주거용 오피스텔 (투자),경기도 구리시 수택동 370,2,3,"112611, P00031","P00031, project_notion_3258ced4-3c47-81cd-b5e6-d5dbcfd4bc13, project_notion_3268ced4-3c47-8135-b7c2-c2de5c7511d3"
ast_ee72b3682575,Milano Office Pirelli HQ,"Via Bicocca degliArcimboldi, 3, 20216 Milano MI, Italy",3,5,"112191, 112192, 112193","112191, 112192, 112193, project_notion_3258ced4-3c47-8109-b77c-c27e4235bb64, project_notion_3268ced4-3c47-81b7-9f37-fc206a57c961"
ast_ee8fd3272e9f,북미DC포트폴리오,-,1,1,R00006,R00006
