merge_action,risk_level,merge_reason,target_tables,asset_id,current_asset_name,db_asset_master_name,accepted_asset_name,asset_name_action,asset_semantics_hint,adoption_source,recommended_db_action,safe_to_update_existing_asset_master,linked_fund_ids,source_fund_code,source_fund_name,source_seq,source_asset_category,source_investment_asset_type,proposed_address,db_address_text,address_compare,proposed_pnu,db_pnu,pnu_compare,proposed_longitude,db_longitude,longitude_compare,proposed_latitude,db_latitude,latitude_compare,has_proposed_location,has_current_asset_master_location,has_current_ledger_for_asset,has_current_ledger_for_proposed_pnu,has_any_ledger_for_proposed_pnu,needs_asset_master_location_update,needs_building_ledger_fetch_by_pnu,fund_assets_id,fund_assets_pnu,fund_assets_address,fund_assets_longitude,fund_assets_latitude,fund_assets_has_building_ledger_metadata
link_existing_underlying_asset_by_pnu,medium,same pnu exists elsewhere in DB; prefer linking/merging existing asset before creating,"asset_master, asset_fund_links, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),이에스에이치12,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),22,특별자산,특별자산,전라남도 광양시 광양읍 세풍리 2224,충청북도 충주시 대소원면 완오리 1165,different,4623025034122240000,4313033530111650000,different,127.596397170066,127.837297354945,different,34.8966180963216,36.9983951162712,different,True,True,True,False,True,True,True,58432,4623025034122240000,전라남도 광양시 광양읍 세풍리 2224,127.596397155015,34.8966187216681,True
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),지티씨솔라13호,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),23,특별자산,특별자산,강원특별자치도 화천군 사내면 용담리 602,충청북도 충주시 대소원면 완오리 1165,different,5179034024106020000,4313033530111650000,different,127.537474128221,127.837297354945,different,38.0836900241721,36.9983951162712,different,True,True,True,False,False,True,True,58433,,강원특별자치도 화천군 사내면 용담리 602,127.537473866627,38.083690321283,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),강구16호,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),24,특별자산,특별자산,경상북도 안동시 길안면 현하리 1115-19,충청북도 충주시 대소원면 완오리 1165,different,4717039033111150019,4313033530111650000,different,128.842429765427,127.837297354945,different,36.4285764602799,36.9983951162712,different,True,True,True,False,False,True,True,58434,,경상북도 안동시 길안면 현하리 1115-19,128.842429666407,36.4285769432021,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),외삼1호,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),25,특별자산,특별자산,경상북도 봉화군 봉성면 외삼리 793,충청북도 충주시 대소원면 완오리 1165,different,4792032023107930000,4313033530111650000,different,128.78366992654,127.837297354945,different,36.8892411396545,36.9983951162712,different,True,True,True,False,False,True,True,58435,,경상북도 봉화군 봉성면 외삼리 793,128.783669834076,36.889241582552,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),외삼2호,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),26,특별자산,특별자산,경상북도 봉화군 봉성면 외삼리 792,충청북도 충주시 대소원면 완오리 1165,different,4792032023107920000,4313033530111650000,different,128.783858932297,127.837297354945,different,36.8889474904447,36.9983951162712,different,True,True,True,False,False,True,True,58436,,경상북도 봉화군 봉성면 외삼리 792,128.783858562063,36.8889478963492,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),솔라트리1호,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),27,특별자산,특별자산,충청북도 제천시 봉양읍 공전리 359-1,충청북도 충주시 대소원면 완오리 1165,different,4315025034103590001,4313033530111650000,different,128.081126743899,127.837297354945,different,37.1079013957364,36.9983951162712,different,True,True,True,False,False,True,True,58437,,충청북도 제천시 봉양읍 공전리 359-1,128.081126710735,37.1079018205968,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),김송하,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),28,특별자산,특별자산,강원특별자치도 영월군 상동읍 구래리 194-9,충청북도 충주시 대소원면 완오리 1165,different,5175025322101940009,4313033530111650000,different,128.810643633155,127.837297354945,different,37.1678515560276,36.9983951162712,different,True,True,True,False,False,True,True,58438,,강원특별자치도 영월군 상동읍 구래리 194-9,128.810643539037,37.1678519743788,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),에스이피브,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),29,특별자산,특별자산,경기도 연천군 중면 합수리 661,충청북도 충주시 대소원면 완오리 1165,different,4180037026106610000,4313033530111650000,different,127.043659510198,127.837297354945,different,38.1372804571045,36.9983951162712,different,True,True,True,False,False,True,True,58439,,경기도 연천군 중면 합수리 661,127.043659295094,38.1372807538152,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),케이앤씨헤르메스,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),30,특별자산,특별자산,전라북도 남원시 대강면 송대리 3-7,충청북도 충주시 대소원면 완오리 1165,different,4519036026100030007,4313033530111650000,different,127.242014696092,127.837297354945,different,35.3757153395264,36.9983951162712,different,True,True,True,False,False,True,True,58440,,전북특별자치도 남원시 대강면 송대리 3-7,127.242014717232,35.37571592589,False
create_underlying_asset_then_fetch_ledger,medium,multi-underlying candidate with new pnu; create asset then fetch/insert ledger,"asset_master, asset_fund_links, asset_building_ledger, fund_assets",ast_0bbbe8c5910d,이지스일반사모투자신탁435호(태양광),이지스일반사모투자신탁435호(태양광),모두에너지,split_or_drawer_list,,domestic_excel_fund_code_match,create_or_link_underlying_asset_with_location,False,112584,112584,이지스일반사모투자신탁435호(태양광),31,특별자산,특별자산,경상북도 경주시 강동면 왕신리 산141-1,충청북도 충주시 대소원면 완오리 1165,different,4713037028201410001,4313033530111650000,different,129.322003835782,127.837297354945,different,35.9357155715035,36.9983951162712,different,True,True,True,False,False,True,True,58441,,경상북도 경주시 강동면 왕신리 산 141-1,129.322003418445,35.9357160588788,False
