entity_type,entity_id,token_type,search_text,search_key,display_text,related_asset_id,related_fund_id,related_project_id,result_behavior,source
fund,112607,fund_name,이지스글로벌코어인프라일반사모특별자산투자신탁 348-2호,이지스글로벌코어인프라일반사모특별자산투자신탁3482호,이지스글로벌코어인프라일반사모특별자산투자신탁 348-2호,ast_db5ed66e1434,112607,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_fund_drawer,funds.fund_name
fund,112607,fund_short_name,348-2호,3482호,이지스글로벌코어인프라일반사모특별자산투자신탁 348-2호,ast_db5ed66e1434,112607,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_fund_drawer,funds.short_name
project,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112607,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_project_drawer,actual_projects.project_name
project_context,112413,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112607,112413,open_context_drawer,funds.project_mission_name
project_context,112521,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112607,112521,open_context_drawer,funds.project_mission_name
project_context,112607,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112607,112607,open_context_drawer,funds.project_mission_name
project_context,112684,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112607,112684,open_context_drawer,funds.project_mission_name
asset,ast_db5ed66e1434,asset_name,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112684,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_asset_drawer,project_name_cleanup_basis.final_asset_name
fund,112684,fund_name,이지스글로벌코어인프라일반사모특별자산투자신탁 348-3호,이지스글로벌코어인프라일반사모특별자산투자신탁3483호,이지스글로벌코어인프라일반사모특별자산투자신탁 348-3호,ast_db5ed66e1434,112684,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_fund_drawer,funds.fund_name
fund,112684,fund_short_name,348-3호,3483호,이지스글로벌코어인프라일반사모특별자산투자신탁 348-3호,ast_db5ed66e1434,112684,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_fund_drawer,funds.short_name
project,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112684,project_notion_3258ced4-3c47-814f-a8a9-ca481cba91d1,open_project_drawer,actual_projects.project_name
project_context,112413,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112684,112413,open_context_drawer,funds.project_mission_name
project_context,112521,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112684,112521,open_context_drawer,funds.project_mission_name
project_context,112607,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112684,112607,open_context_drawer,funds.project_mission_name
project_context,112684,project_or_business_label,Brookfield Super-Core Infrastructure Partners,brookfieldsupercoreinfrastructurepartners,Brookfield Super-Core Infrastructure Partners,ast_db5ed66e1434,112684,112684,open_context_drawer,funds.project_mission_name
