project_display_class,asset_id,final_asset_name,asset_semantics,fund_id,final_fund_name,fund_name_status,project_id,current_project_name,project_display_name_candidate,project_display_name_source,project_display_kind,project_id_is_actual_project,project_id_is_pseudo_fund_context,project_name_contains_asset,project_name_contains_fund,project_name_has_purpose_word,project_name_vehicle_like,suggested_display_behavior
missing_project_relationship,ast_064b41e30c94,이지스일반사모부동산투자신탁제439호,physical_asset,,,missing_fund_relationship,,,이지스일반사모부동산투자신탁제439호,derived.available_name,missing_project_available_name,false,false,true,false,true,true,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0713581af76f,이지스 130호(모) 제1-1종 수익증권,physical_asset,,,missing_fund_relationship,,,이지스 130호(모) 제1-1종 수익증권,derived.available_name,missing_project_available_name,false,false,true,false,false,true,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_07a74d2ee7e4,Dallas KPMG Plaza Senior Loan,physical_asset,,,missing_fund_relationship,,,Dallas KPMG Plaza Senior Loan,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_07e0f0bb366d,트리스빌딩,physical_asset,,,missing_fund_relationship,,,트리스빌딩,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_07e49a3487e7,강동 성내 역세권 청년주택,physical_asset,,,missing_fund_relationship,,,강동 성내 역세권 청년주택,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_07f69f4d8b19,KKR Real Estate Partners Europe II,physical_asset,,,missing_fund_relationship,,,KKR Real Estate Partners Europe II,derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_0812bfa02848,"StepStone Secondary Opportunities Fund V Offshore Holdings, L.P.  가 발행하는 지분증권",physical_asset,,,missing_fund_relationship,,,"StepStone Secondary Opportunities Fund V Offshore Holdings, L.P.  가 발행하는 지분증권",derived.available_name,missing_project_available_name,false,false,true,false,false,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_081de2d9bdd9,수서역환승센터복합개발사업,physical_asset,,,missing_fund_relationship,,,수서역환승센터복합개발사업,derived.available_name,missing_project_available_name,false,false,true,false,true,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_088dd044de37,부산 온천동 복합시설 신축사업,physical_asset,,,missing_fund_relationship,,,부산 온천동 복합시설 신축사업,derived.available_name,missing_project_available_name,false,false,true,false,true,false,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
missing_project_relationship,ast_08feb99d7dd1,맥스에너지금성태양광발전,physical_asset,112466,이지스일반사모투자신탁377호,fund_name_verified,,,맥스에너지금성태양광발전 / 이지스일반사모투자신탁377호,derived.asset_fund_pair,missing_project_derived_pair,false,false,true,true,true,true,프로젝트 없음/관계 발굴 대상. 자산+펀드 drawer에서는 프로젝트 미연결로 표시
