issue_type,asset_id,asset_name,fund_id,current_fund_name,proposed_fund_name,project_id,current_project_name,proposed_project_display_name,proposed_project_display_source,project_id_is_actual_project,project_id_is_fund_id_pseudo,flags,relationship_status,missing_parts,project_lookup_source,fund_relation_source_table,project_relation_source_table
project_name,ast_f239d6c0f82c,와이에이치파워1 주식,,,,,,,,false,false,project_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
fund_name,ast_f2586dff03b4,캐나다 물류중개업체 인수 관련 국내 SPC,,,,,,,,false,false,fund_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
project_name,ast_f2586dff03b4,캐나다 물류중개업체 인수 관련 국내 SPC,,,,,,,,false,false,project_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
fund_name,ast_f26dd6678598,"채권, 메자닌, 국내 주식, ETF, 상장 리츠, 공모주, 이벤트 드리븐",,,,,,,,false,false,fund_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
project_name,ast_f26dd6678598,"채권, 메자닌, 국내 주식, ETF, 상장 리츠, 공모주, 이벤트 드리븐",,,,,,,,false,false,project_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
fund_name,ast_f2b5e4f49308,Blackstone Real Estate Debt Strategies V,,,,,,,,false,false,fund_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
project_name,ast_f2b5e4f49308,Blackstone Real Estate Debt Strategies V,,,,,,,,false,false,project_missing_no_id,missing_one_or_more_names,fund_name; project_name,no_project_link,,
project_name,ast_f2df751470ee,Nuveen UK Enhanced Debt Fund,112072,이지스영국전문투자형사모부동산투자신탁73호,이지스영국전문투자형사모부동산투자신탁73호,112072,Nuveen UK Enhanced Debt Fund,Nuveen UK Enhanced Debt Fund,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2df751470ee,Nuveen UK Enhanced Debt Fund,112072,이지스영국전문투자형사모부동산투자신탁73호,이지스영국전문투자형사모부동산투자신탁73호,112137,Nuveen UK Enhanced Debt Fund,Nuveen UK Enhanced Debt Fund,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2df751470ee,Nuveen UK Enhanced Debt Fund,112137,이지스영국전문투자형사모부동산투자신탁73-1호,이지스영국전문투자형사모부동산투자신탁73-1호,112072,Nuveen UK Enhanced Debt Fund,Nuveen UK Enhanced Debt Fund,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2df751470ee,Nuveen UK Enhanced Debt Fund,112137,이지스영국전문투자형사모부동산투자신탁73-1호,이지스영국전문투자형사모부동산투자신탁73-1호,112137,Nuveen UK Enhanced Debt Fund,Nuveen UK Enhanced Debt Fund,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2df751470ee,Nuveen UK Enhanced Debt Fund,112460,이지스전문투자형사모부동산투자신탁373호,이지스전문투자형사모부동산투자신탁373호,112072,Nuveen UK Enhanced Debt Fund,Nuveen UK Enhanced Debt Fund,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
project_name,ast_f2df751470ee,Nuveen UK Enhanced Debt Fund,112460,이지스전문투자형사모부동산투자신탁373호,이지스전문투자형사모부동산투자신탁373호,112137,Nuveen UK Enhanced Debt Fund,Nuveen UK Enhanced Debt Fund,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,funds,projects
project_name,ast_f2e00117756f,B스퀘어,112649,이지스부산특구부동산투자신탁제1호(운용),이지스부산특구부동산투자신탁제1호(운용),112650,B스퀘어,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112649,이지스부산특구부동산투자신탁제1호(운용),이지스부산특구부동산투자신탁제1호(운용),112651,B스퀘어,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112649,이지스부산특구부동산투자신탁제1호(운용),이지스부산특구부동산투자신탁제1호(운용),112649,부산 초량 MDM타워,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_mismatch_fund_context,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112649,이지스부산특구부동산투자신탁제1호(운용),이지스부산특구부동산투자신탁제1호(운용),112652,B스퀘어,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112651,이지스부산특구부동산투자신탁제1호(C-I),이지스부산특구부동산투자신탁제1호(C-I),112650,B스퀘어,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112651,이지스부산특구부동산투자신탁제1호(C-I),이지스부산특구부동산투자신탁제1호(C-I),112651,B스퀘어,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112651,이지스부산특구부동산투자신탁제1호(C-I),이지스부산특구부동산투자신탁제1호(C-I),112649,부산 초량 MDM타워,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project;project_name_mismatch_fund_context,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112651,이지스부산특구부동산투자신탁제1호(C-I),이지스부산특구부동산투자신탁제1호(C-I),112652,B스퀘어,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112652,이지스부산특구부동산투자신탁제1호(C-S),이지스부산특구부동산투자신탁제1호(C-S),112650,B스퀘어,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
project_name,ast_f2e00117756f,B스퀘어,112652,이지스부산특구부동산투자신탁제1호(C-S),이지스부산특구부동산투자신탁제1호(C-S),112651,B스퀘어,B스퀘어,funds.project_mission_name,false,true,project_id_is_fund_id_pseudo_project,asset_fund_project_connected,,asset_project_links.metadata,fund_assets,projects
