asset_id,current_asset_name,proposed_asset_name,asset_name_resolution_status,asset_name_action,is_fund_or_vehicle_fallback_asset,direct_fund_asset_candidates,same_fund_underlying_candidates,fund_asset_field_candidates,project_name_candidates,alias_name_candidates,direct_fund_asset_details_json,linked_fund_ids,linked_project_ids,linked_fund_count,linked_project_count,drawer_behavior_hint
ast_e78bd37a55e6,Pantheon PGSF VII,Pantheon PGSF VII,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e7e65d3bc117,역삼AP타워,역삼AP타워,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e825b5c5a33f,KKR Real Estate Partners Europe II,KKR Real Estate Partners Europe II,current_asset_name_ok,keep,false,KKR Real Estate Partners Europe II,KKR Real Estate Partners Europe II,KKR Real Estate Partners Europe II,KKR Real Estate Partners Europe II,KKR Real Estate Partners Europe II,"[{""name"":""KKR Real Estate Partners Europe II"",""address"":"""",""type"":""오피스복합""}]",112558,112558 | project_notion_3258ced4-3c47-81ab-9af3-dcbd1487452b,1,2,asset_click_opens_project_list
ast_e82ed4b638d4,New York 787 Seventh Avenue Mezzanine Loan,New York 787 Seventh Avenue Mezzanine Loan,current_asset_name_ok,keep,false,New York 787 Seventh Avenue Mezzanine Loan,New York 787 Seventh Avenue Mezzanine Loan,New York 787 Seventh Avenue Mezzanine Loan,New York 787 Seventh Avenue Mezzanine Loan,New York 787 Seventh Avenue Mezzanine Loan,"[{""name"":""New York 787 Seventh Avenue Mezzanine Loan"",""address"":""787 Seventh Avenue (51st & 52nd Street), NY"",""type"":""오피스""},{""name"":""New York 787 Seventh Avenue Mezzanine Loan"",""address"":""787 Seventh Avenue (51st & 52nd Street), NY"",""type"":""오피스""}]",112068 | 112069,112068 | 112069 | project_notion_3258ced4-3c47-8193-99e0-f53579aa8e9f | project_notion_3268ced4-3c47-8185-aa6b-f930c7c1d8b3,2,4,entity_click_opens_asset_fund_project_picker
ast_e8488224f793,London Canon Bridge House Senior Loan,London Canon Bridge House Senior Loan,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e88ca660b36b,이태원동 133-17 외 2필지,이태원동 133-17 외 2필지,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_e8ad3281d39e,Enlink project patton,Enlink project patton,current_asset_name_ok,keep,false,Enlink project patton,Enlink project patton,Enlink project patton,Enlink project patton,Enlink project patton,"[{""name"":""Enlink project patton"",""address"":"""",""type"":""""}]",112618,112618,1,1,entity_click_opens_detail
ast_e93b7e7a9f50,환성3호태양광발전소,환성3호태양광발전소,current_asset_name_ok,keep,false,환성3호태양광발전소,엠아이에너지태양광발전소 | 맥스에너지금성태양광발전 | 예지안빛에너지 | 환성3호태양광발전소 | 환성2호태양광발전소 | 솔라팜2호 | 맥스에너지하리태양광발전 | 천리에너지2호태양광발전소 | 하늘별빛에너지태양광발전소 | 한국쏠라알피에스태양광발전소 | 삼산태양광발전소 | 해누리7호태양광발전소 | 솔라팜1호 | 지동쏠라에너지태양광발전 | 일순에너지 | 스카이에너지 | 에이스쏠라 | 디앤피영천신기 | 성남제이씨에너지 | 선그린에너지 | 디앤피옥연 | 제이에스금계태양광발전 | 아인에너지 | 제이피에너지 | 에스디일호 | 호니파워 | 케이앤씨솔라리아 | 케이앤씨해바라기 | 에스플래닛삼십사호 | 장춘3호태양광발전소,환성2호태양광발전소 | 환성3호태양광발전소 | 예지안빛에너지 | 장춘3호태양광발전소 | 하늘별빛에너지태양광발전소 | 해누리7호태양광발전소 | 천리에너지2호태양광발전소 | 엠아이에너지태양광발전소 | 한국쏠라알피에스태양광발전소 | 솔라팜1호 | 솔라팜2호 | 삼산태양광발전소 | 맥스에너지하리태양광발전 | 맥스에너지금성태양광발전 | 제이에스금계태양광발전 | 지동쏠라에너지태양광발전 | 성남제이씨에너지 | 선그린에너지 | 일순에너지 | 스카이에너지 | 에이스쏠라 | 디앤피옥연 | 디앤피영천신기 | 케이앤씨해바라기 | 케이앤씨솔라리아 | 호니파워 | 에스디일호 | 에스플래닛삼십사호 | 아인에너지 | 제이피에너지,,"환성3호태양광발전소 | 환성2호태양광발전소, 환성3호태양광발전소, 예지안빛에너지, 장춘3호태양광발전소, 하늘별빛에너지태양광발전소, 해누리7호태양광발전소, 천리에너지2호태양광발전소, 엠아이에너지태양광발전소, 한국쏠라알피에스태양광발전소, 솔라팜1호, 솔라팜2호, 삼산태양광발전소, 맥스에너지하리태양광발전, 맥스에너지금성태양광발전, 제이에스금계태양광발전, 지동쏠라에너지태양광발전, 성남제이씨에너지, 선그린에너지, 일순에너지, 스카이에너지, 에이스쏠라, 디앤피옥연, 디앤피영천신기, 곡성, 케이앤씨해바라기, 케이앤씨솔라리아, 호니파워, 에스디일호, 에스플래닛삼십사호, 아인에너지, 제이피에너지","[{""name"":""환성3호태양광발전소"",""address"":""충청남도 서산시 지곡면 환성리 777-90"",""type"":""""}]",112466,,1,0,entity_click_opens_detail
ast_e99c7779c9b8,두산빌딩,두산빌딩,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
ast_ea5059c477b7,Courtyard by Marriott,Courtyard by Marriott,current_asset_name_ok,keep,false,,,,,,[],,,0,0,entity_click_opens_detail
