fund_id,short_name,fund_name,vehicle_type,holding_type,fund_form,multi_class_type,aum_inclusion_flag,status,aggregate_asset_names,aggregate_beneficiary_names,aggregate_lender_names,source_row_number,row_hash
112700,400호,이지스제400호부동산일반사모투자회사,Fund,일반펀드,일반펀드,일반,Y,운용,여의도 신한금융투자타워,"RECO JUNIPER PRIVATE LIMITED, 이지스자산운용, 한화투자증권","신한은행, 신한캐피탈, 아이비케이연금보험, 아이비케이캐피탈, 우리은행, 지아이비와이디, 케이비증권, 현대해상화재보험",687,1791e9d5201fb849c60ba1532bbceff45c7baa2c7bd053b8341281f899f84acd
112701,13호(1종),이지스일반사모부동산투자신탁13호(1종),Fund,자펀드,수익차등(수익권),수익차등,Y,청산,,,,688,4430399fc3b4e11f123105a313c0d9de342f0bdca174e6013892cd821657e10b
112702,13호(2종),이지스일반사모부동산투자신탁13호(2종),Fund,자펀드,수익차등(수익권),수익차등,Y,운용,"홈플러스영등포점, 홈플러스금천점, 홈플러스동수원점, 홈플러스센텀시티점",,,689,c85d7c001943340737ffd72210a79e9a5074d6805f08ad2431bed5128d197076
112703,인컴앤그로스2-3호,이지스인컴앤그로스제2의3호일반사모부동산모투자회사,Fund,모펀드,모펀드,일반,Y,운용,안성홈플러스물류센터,이지스인컴앤그로스일반사모부동산자투자신탁제2호(Blind),"국민은행, 신한은행",690,ee35c96ddc85356403b74d5f51124dd3ddbd188772bb677413428c76d7b7280e
112704,475호,이지스제475호부동산일반사모투자회사,Fund,일반펀드,일반펀드,일반,Y,운용,인천 가좌동 소재 개발자산 선매입,,,691,4c30f079e6dcde9480b2ea5eacdda4f9463c4ef15b9a7276d74cd863c9c81441
112705,357호(3종),이지스캘리포니아일반사모부동산투자신탁357호(재간접형)(3종),Fund,자펀드,수익차등(수익권),수익차등,Y,청산,타이거대체전문투자형사모부동산투자신탁5호(미국캘리포니아주오렌지카운티소재상업용오피스 투자),,,692,79d5686158682001b7dbb00706a508f0499d417fdfc85e6af0b4eafaab787971
112706,421호(A종),이지스일반사모부동산투자신탁421호(A종),Fund,자펀드,수익차등(수익권),수익차등,Y,운용,와이디427피에프브이 주식회사,,,693,d03f9a3abc620deabf90263b8532a02c965aeeccded16ad598781846e741e3ce
112707,421호(B종),이지스일반사모부동산투자신탁421호(B종),Fund,자펀드,수익차등(수익권),수익차등,Y,운용,와이디427피에프브이 주식회사,,,694,45a522a524e5ee2bb583bfab98068b6c64713f682068ccf6bb75d2a9128ba7ce
112708,478호,이지스북미토스카나선순위일반사모투자신탁478호,Fund,일반펀드,일반펀드,일반,Y,청산,캐나다 물류중개업체 인수 관련 국내 SPC 대출채권,"씨앤투스, 한국방송광고진흥공사",,695,4c97a47f23e74eef35873a692769b0be393f515180f6190de80fa33ccd9dd616
112709,코스닥벤처1호,이지스 코스닥벤처 일반사모투자신탁 제1호,Fund,일반펀드,일반펀드,일반,Y,청산,"비상장 상환전환우선주, 전환사채, 공모주","이지스자산운용, 키움저축은행, 푸른저축은행",,696,9ad295ec0375fee08571ff33ca766950fb48c7661cc1d67dbee3a4c51afdf24c
