asset_id,canonical_name,pnu,status,missing_fields,fill_fields,item_count,selected_mgm_bldrgst_pk,new_floors_down,new_elevators,applied,new_completion_date,new_site_area,new_scr,new_far,new_main_usage,new_structure,new_floors_up,new_parking,new_height,new_gross_floor_area
ast_09cbe4380781,솔라팩토리19호,4313033530111650000,found,"floors_down,elevators,completion_date","floors_down,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",5,11571100238224,0,,True,2016-07-06,,,,,,,,,
ast_97eee497ab45,PFV_Lotus (지분증권),1111012800101550002,found,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10021100217365,4,11,True,,5853.22,58.91,473.58,숙박시설,철골철근콘크리트구조,13,옥내 120 / 옥외 2,44.96,45284.0
ast_791b962e0c10,삼일빌딩,1111013500100100002,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,100214519,2,6,True,1970-06-05,1877.4,58.09,1704.87,업무시설,철골철근콘크리트구조,31,옥내 50 / 옥외 2,110.82,
ast_6be590f974c1,누디트 홍대,1144012000104600025,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,1000000000000001672923,3,7,True,,3622.1,57.96,239.98,숙박시설,철근콘크리트구조,7,옥내 101 / 옥외 0,30.92,
ast_b79d97794e21,트윈트리타워,1111012500100140000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",2,10021100188930,8,5,True,,4430.1,27.07,403.46,업무시설,철근콘크리트구조,17,옥내 226 / 옥외 0,64.18,
ast_99bb7e6dd0fa,노스게이트빌딩,1111010700100660000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,1002122868,4,6,True,,4234.9,41.99,497.7,업무시설,일반철골구조,12,옥내 148 / 옥외 28,47.32,
ast_3e4a7ba7841a,오토웨이타워,1168010600109480000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10241100226732,5,11,True,,8267.1,42.55,249.94,업무시설,철골철근콘크리트구조,9,옥내 334 / 옥외 4,51.44,
ast_15f689589eb3,시그니쳐타워,1114011000100990000,found,"site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height","site_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10031100205574,6,16,True,,6937.6,59.95,923.53,업무시설,철골철근콘크리트구조,17,옥내 436 / 옥외 0,75.24,
ast_74207a7495b3,페어필드 메리어트 서울 메자닌 대출,1156010200101430003,found,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date","site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,10201100239601,7,6,True,2017-12-29,2524.8,58.48,799.74,숙박시설,철근콘크리트구조,19,옥내 305 / 옥외 0,77.15,32054.8
ast_eedc59c97695,서울시 영등포 1-3 재정비촉진지구 도시환경정비사업,1156010800100290055,found,"site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,elevators,parking,height,completion_date","site_area,gross_floor_area,scr,far,main_usage,structure,floors_up,floors_down,parking,height,completion_date,building_ledger_source,api_enrichment_status,last_api_enriched_at,updated_at",1,102015869,1,,True,2003-03-31,321.0,59.93,308.25,교육연구시설,일반철골구조,6,옥내 0 / 옥외 8,20.6,1166.68
