org_id,org_name,org_level,section_name,section_id,parent_org_id,org_code,display_order,notes
section-03-group-03-part-01-team-01,1파트,team,관리+운영,section-03,section-03-group-03-part-01,,1,관리+운영 > 리빙그룹 > 1파트
section-03-group-03-part-02,2파트,part,관리+운영,section-03,section-03-group-03,,2,
section-03-group-03-part-02-team-01,2파트,team,관리+운영,section-03,section-03-group-03-part-02,,1,관리+운영 > 리빙그룹 > 2파트
section-03-group-04,리테일솔루션센터,center,관리+운영,section-03,section-03,,4,
section-03-group-04-part-01,미지정,part,관리+운영,section-03,section-03-group-04,,1,
section-03-group-04-part-01-team-01,리테일솔루션센터,team,관리+운영,section-03,section-03-group-04-part-01,,1,관리+운영 > 리테일솔루션센터
section-04-group-01,론파이낸스센터,center,부분직속,section-04,section-04,,1,
section-04-group-01-part-01,미지정,part,부분직속,section-04,section-04-group-01,,1,
section-04-group-01-part-01-team-01,론파이낸스센터,team,부분직속,section-04,section-04-group-01-part-01,,1,부분직속 > 론파이낸스센터
section-04-group-02,기업마케팅센터,center,부분직속,section-04,section-04,,2,
section-04-group-02-part-01,미지정,part,부분직속,section-04,section-04-group-02,,1,
section-04-group-02-part-01-team-01,기업마케팅센터,team,부분직속,section-04,section-04-group-02-part-01,,1,부분직속 > 기업마케팅센터
section-04-group-03,공간솔루션센터,center,부분직속,section-04,section-04,,3,
section-04-group-03-part-01,미지정,part,부분직속,section-04,section-04-group-03,,1,
section-04-group-03-part-01-team-01,공간솔루션센터,team,부분직속,section-04,section-04-group-03-part-01,,1,부분직속 > 공간솔루션센터
section-04-group-04,기획추진센터,center,부분직속,section-04,section-04,,4,
section-04-group-04-part-01,미지정,part,부분직속,section-04,section-04-group-04,,1,
section-04-group-04-part-01-team-01,기획추진센터,team,부분직속,section-04,section-04-group-04-part-01,,1,부분직속 > 기획추진센터
section-05-group-01,SS&C TF,tf,TFs,section-05,section-05,,1,TF
section-05-group-01-part-01,미지정,part,TFs,section-05,section-05-group-01,,1,
section-05-group-01-part-01-team-01,SS&C TF,team,TFs,section-05,section-05-group-01-part-01,,1,TFs > SS&C TF
section-05-group-02,IOTA CFT,tf,TFs,section-05,section-05,,2,TF
section-05-group-02-part-01,미지정,part,TFs,section-05,section-05-group-02,,1,
section-05-group-02-part-01-team-01,IOTA CFT,team,TFs,section-05,section-05-group-02-part-01,,1,TFs > IOTA CFT
section-05-group-03,개발PFV TF,tf,TFs,section-05,section-05,,3,TF
section-05-group-03-part-01,미지정,part,TFs,section-05,section-05-group-03,,1,
section-05-group-03-part-01-team-01,개발PFV TF,team,TFs,section-05,section-05-group-03-part-01,,1,TFs > 개발PFV TF
